rank,diameters_nm,phase_fit_RMS_band_max,maximum_phase_error_over_band,maximum_step_drift_peak_to_peak,amplitude_CV_band_max,minimum_T_over_band,all_legacy_engineering_gates_pass
73,"115,125,135,155,185,195",12.916762351989746,21.706235885620117,23.090913772583008,0.04794180020689964,0.740563690662384,False
74,"110,125,130,150,175,190",12.917734146118164,25.56448745727539,15.254935264587402,0.009639968164265156,0.9423889517784119,False
75,"100,115,130,145,155,175",12.919835090637207,23.022363662719727,20.647846221923828,0.009304618462920189,0.9423889517784119,False
76,"110,130,145,155,175,195",12.979471206665039,20.664226531982422,19.69135093688965,0.015004550106823444,0.909990131855011,False
77,"125,135,145,175,190,210",12.984667778015137,24.2755069732666,23.423418045043945,0.069080650806427,0.7140700817108154,False
78,"115,130,145,170,185,195",12.997980117797852,20.891727447509766,40.431671142578125,0.15862597525119781,0.3582616448402405,False
79,"105,120,130,150,175,190",13.014289855957031,20.12099838256836,16.958717346191406,0.009716865606606007,0.9423889517784119,False
80,"110,130,135,150,175,190",13.022992134094238,26.044729232788086,19.181095123291016,0.049650680273771286,0.740563690662384,False
81,"110,125,135,155,160,190",13.028392791748047,21.018327713012695,44.472679138183594,0.18932098150253296,0.27601373195648193,False
82,"110,120,130,150,175,190",13.0299072265625,21.853689193725586,15.254935264587402,0.009535233490169048,0.9423889517784119,False
83,"125,135,155,175,190,230",13.036185264587402,20.301490783691406,26.52430534362793,0.050226226449012756,0.740563690662384,False
84,"105,115,130,145,155,190",13.040375709533691,20.211223602294922,16.958717346191406,0.006358789280056953,0.9550254940986633,False
85,"100,120,130,145,175,185",13.089994430541992,28.42343521118164,17.041133880615234,0.00987347960472107,0.9423889517784119,False
86,"105,125,135,155,175,195",13.100311279296875,25.659568786621094,23.090913772583008,0.048945579677820206,0.740563690662384,False
87,"100,120,130,150,155,190",13.12936019897461,22.115238189697266,18.264352798461914,0.005430884659290314,0.9550254940986633,False
88,"120,135,150,175,190,225",13.13851547241211,23.613784790039062,33.906009674072266,0.06741806119680405,0.6641677618026733,False
89,"115,130,135,150,175,195",13.152779579162598,20.505760192871094,19.181095123291016,0.04920737445354462,0.740563690662384,False
90,"110,125,145,150,175,195",13.153056144714355,26.289125442504883,19.69135093688965,0.014876422472298145,0.909990131855011,False
91,"100,115,130,145,170,190",13.163759231567383,22.53914451599121,39.24338912963867,0.1587281972169876,0.3582616448402405,False
