evaluation_label,wavelength_nm,angle_deg,T_TE,T_TM,T_unpolarized,energy_residual,candidate_id,static_structure_id,topology
448nm,448.0,45.0,0.0045117567098985015,0.03302566935232914,0.01876871303111382,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,46.0,0.004115714867926059,0.033077832531575355,0.018596773699750706,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,47.0,0.003763089560089598,0.033284474904504965,0.01852378223229728,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,48.0,0.003448350185594479,0.03364699760885377,0.018547673897224125,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,49.0,0.003166734253610782,0.03416859314493997,0.018667663699275375,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,50.0,0.002914133229056253,0.0348542334312564,0.018884183330156325,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,51.0,0.002686995998755933,0.03571067138521349,0.01919883369198471,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,52.0,0.002482247232367059,0.036746451402589406,0.01961434931747823,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,53.0,0.002297218308090008,0.03797192279389422,0.020134570550992114,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,54.0,0.002129588824729237,0.03939924855212851,0.020764418688428873,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,55.0,0.0019773370281509226,0.04104239967485299,0.021509868351501957,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,56.0,0.001838697743856478,0.04291712254845795,0.022377910146157212,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,57.0,0.0017121266321008693,0.045040863538243936,0.0233764950851724,6.661338147750939e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,58.0,0.0015962697721927312,0.047432630850075014,0.024514450311133872,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,59.0,0.0014899377428373192,0.050112768914306195,0.025801353328571756,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
448nm,448.0,60.0,0.0013920834998838647,0.053102615035543276,0.02724734926771357,6.661338147750939e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-60.0,0.0014146563737592011,0.056364992904682165,0.028889824639220685,5.551115123125783e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-59.0,0.0015101634655131629,0.05290158657204857,0.027205875018780867,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-58.0,0.0016135681069640445,0.04979918848850192,0.025706378297732983,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-57.0,0.0017258181572393405,0.04702987733230872,0.024377847744774032,2.220446049250313e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-56.0,0.0018479845775161582,0.04456726438339658,0.02320762448045637,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-55.0,0.001981279648977938,0.04238682579999023,0.022184052724484083,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-54.0,0.0021270781513953226,0.040466097725531405,0.021296587938463365,0.0,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-53.0,0.002286942010480001,0.038784771093315545,0.020535856551897772,1.1102230246251565e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-52.0,0.0024626490118911898,0.03732471572228844,0.019893682367089813,4.440892098500626e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
450nm,450.0,-51.0,0.002656226284679878,0.03606995703414773,0.019363091659413807,3.3306690738754696e-16,EX_N3_L79_H45_C156,P1_EXPLICIT_FAB_G2_A4,Explicit
