trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-31.652248250197143,1.13117056166163e-06
case,-0.7,-31.584931026590837,1.141615011661561e-06
case,-0.7,-31.517662396662004,1.1454951268178308e-06
case,-0.7,-31.450442162804677,1.142708098992613e-06
case,-0.7,-31.3832701283889,1.133240227555371e-06
case,-0.7,-31.31614609775339,1.1171672986952e-06
case,-0.7,-31.249069876198234,1.094653914550072e-06
case,-0.7,-31.182041269977738,1.0659517635742308e-06
case,-0.7,-31.11506008629329,1.0313968331370256e-06
case,-0.7,-31.04812613328633,9.914055756430131e-07
case,-0.7,-30.981239220031295,9.464700504603487e-07
case,-0.7,-30.914399156528773,8.971520755862281e-07
case,-0.7,-30.847605753698566,8.440764351730772e-07
case,-0.7,-30.780858823372945,7.879232016607311e-07
case,-0.7,-30.714158178289868,7.294192441457049e-07
case,-0.7,-30.64750363208634,6.693290075730375e-07
case,-0.7,-30.58089499929177,6.084446601319529e-07
case,-0.7,-30.514332095321457,5.475757186196324e-07
case,-0.7,-30.447814736470008,4.875382732316907e-07
case,-0.7,-30.381342739905026,4.2914394395174867e-07
case,-0.7,-30.314915923660614,3.731887101457601e-07
case,-0.7,-30.248534106631137,3.2044176281913715e-07
case,-0.7,-30.182197108564903,2.7163453497433256e-07
case,-0.7,-30.115904750058007,2.2745006933914895e-07
case,-0.7,-30.049656852548125,1.8851288417424687e-07
case,-0.7,-29.983453238308474,1.5537949670087577e-07
case,-0.7,-29.91729373044172,1.2852975975021224e-07
case,-0.7,-29.851178152874013,1.0835916041023907e-07
case,-0.7,-29.78510633034908,9.517221968103592e-08
case,-0.7,-29.719078088422272,8.917711945642745e-08
case,-0.7,-29.65309325345482,9.04816676107282e-08
case,-0.7,-29.587151652607982,9.909069373750845e-08
case,-0.7,-29.52125311383738,1.1490494738928e-07
