angle,intensity
-37.070797764502835,7.367188410208246e-07
-36.99898681462518,7.362657855745648e-07
-36.927243620730934,7.358039109767114e-07
-36.855567879222775,7.353343729580904e-07
-36.78395928834955,7.348583390295607e-07
-36.71241754818993,7.343769870996185e-07
-36.64094236063632,7.33891504077005e-07
-36.5695334293788,7.334030844611318e-07
-36.49819045988942,7.329129289231305e-07
-36.42691315940653,7.324222428803108e-07
-36.35570123691936,7.319322350667361e-07
-36.28455440315277,7.314441161026325e-07
-36.21347237055207,7.309590970652167e-07
-36.14245485326819,7.304783880635376e-07
-36.07150156714285,7.300031968197904e-07
-36.00061222969392,7.295347272595076e-07
-35.929786560101036,7.290741781129481e-07
-35.85902427919126,7.286227415298908e-07
-35.78832510942493,7.281816017099497e-07
-35.71768877488175,7.277519335504206e-07
-35.64711500124685,7.273349013135648e-07
-35.57660351579719,7.269316573150943e-07
-35.50615404738797,7.265433406355446e-07
-35.43576632643926,7.261710758560777e-07
-35.365440084922724,7.258159718201241e-07
-35.29517505634857,7.254791204221842e-07
-35.2249709757525,7.251615954249544e-07
-35.15482757968296,7.248644513058379e-07
-35.08474460618839,7.245887221337621e-07
-35.01472179480467,7.243354204771241e-07
-34.94475888654275,7.241055363435431e-07
-34.87485562387627,7.23900036152001e-07
-34.805011750729435,7.237198617378276e-07
-34.73522701246499,7.235659293908807e-07
-34.66550115587226,7.234391289271675e-07
-34.595833929155425,7.233403227940527e-07
-34.52622508192178,7.232703452090979e-07
-34.45667436517022,7.232300013325077e-07
-34.387181531279865,7.232200664730269e-07
-34.317746333998656,7.232412853271373e-07
-34.24836852843222,7.232943712512387e-07
-34.17904787103281,7.233800055665023e-07
-34.10978411958826,7.234988368960165e-07
-34.04057703321126,7.236514805337698e-07
-33.97142637232849,7.238385178450067e-07
-33.90233189867005,7.240604956974433e-07
-33.83329337525896,7.243179259228142e-07
-33.7643105664007,7.246112848081887e-07
-33.69538323767291,7.249410126165089e-07
-33.62651115591517,7.253075131357763e-07
-33.557694089218955,7.257111532563409e-07
-33.48893180691755,7.26152262575743e-07
-33.42022407957621,7.266311330305862e-07
-33.35157067898234,7.271480185549541e-07
-33.28297137813577,7.27703134764894e-07
-33.214425951239164,7.28296658668569e-07
-33.14593417368852,7.289287284016736e-07
-33.077495822063696,7.295994429878205e-07
-33.009110674119185,7.30308862123604e-07
-32.94077850877477,7.310570059881474e-07
-32.87249910610644,7.318438550769907e-07
-32.804272247337344,7.32669350060236e-07
-32.736097714828794,7.335333916649531e-07
-32.667975292071404,7.34435840581916e-07
-32.59990476367633,7.353765173968104e-07
-32.53188591536649,7.363552025461353e-07
-32.463918533968005,7.373716362980938e-07
-32.39600240740169,7.384255187588502e-07
-32.32813732467448,7.395165099045994e-07
-32.26032307587121,7.406442296399723e-07
-32.192559452146185,7.418082578833751e-07
-32.12484624571508,7.430081346799265e-07
-32.05718324984673,7.442433603427256e-07
-31.989570258855096,7.455133956232441e-07
-31.92200706809132,7.468176619116988e-07
-31.85449347393578,7.4815554146831e-07
-31.78702927379026,7.495263776863985e-07
-31.71961426607023,7.509294753883244e-07
-31.65224825019715,7.523641011552939e-07
-31.58493102659085,7.538294836920996e-07
-31.517662396662004,7.553248142278841e-07
-31.45044216280468,7.568492469540094e-07
-31.383270128388915,7.584018995001518e-07
-31.316146097753407,7.599818534497257e-07
-31.24906987619825,7.615881548957064e-07
-31.182041269977745,7.632198150379536e-07
-31.1150600862933,7.648758108230674e-07
-31.04812613328634,7.665550856277772e-07
-30.981239220031302,7.682565499868472e-07
-30.91439915652878,7.699790823663849e-07
-30.847605753698573,7.717215299834185e-07
-30.780858823372945,7.734827096724915e-07
-30.714158178289875,7.752614087999921e-07
-30.647503632086345,7.770563862267976e-07
-30.580894999291782,7.788663733197449e-07
-30.51433209532146,7.806900750123292e-07
-30.447814736470015,7.825261709149026e-07
-30.38134273990503,7.843733164745469e-07
-30.31491592366062,7.862301441846464e-07
-30.248534106631137,7.880952648440648e-07
-30.182197108564917,7.899672688656756e-07
-30.115904750058014,7.918447276338763e-07
-30.049656852548136,7.937261949105316e-07
-29.98345323830849,7.956102082886492e-07
-29.917293730441727,7.974952906929546e-07
-29.851178152874024,7.993799519263327e-07
-29.785106330349088,8.012626902609563e-07
-29.71907808842228,8.031419940727624e-07
-29.65309325345482,8.050163435177649e-07
-29.58715165260799,8.068842122485044e-07
-29.52125311383738,8.087440691688096e-07
