operation,status,error
getnamed dbr::rect_1.z,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.z span,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.enabled,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.monitor type,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.projection direction,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.material index,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.far field filter,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::rect_1.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::rect_1' can be found"""
getnamed dbr::layer.x,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.x span,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.y,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.y span,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.z,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.z span,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.enabled,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.monitor type,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.projection direction,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.material index,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.far field filter,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::layer' can be found"""
getnamed dbr::layer_1.x,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.x span,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.y,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.y span,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.z,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.z span,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.enabled,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.monitor type,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.projection direction,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.material index,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.far field filter,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.2D resolution,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.3D resolution,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.Assume structure is periodic,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::layer_1.override near field mesh,failed,"""In getnamed, no items matching the name 'dbr::layer_1' can be found"""
getnamed dbr::MDC.x,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.x span,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.y,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.y span,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.z,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.z span,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.enabled,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.monitor type,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
getnamed dbr::MDC.projection direction,failed,"""In getnamed, no items matching the name 'dbr::MDC' can be found"""
