kind,lambda_nm,monitor,order_m,power_raw,state_air,state_substrate,u1
reflection,449.0,reflection_monitor,0,0.015032314860698231,PROPAGATING,PROPAGATING,-0.48174529848299724
reflection,449.0,reflection_monitor,1,0.1481000898101855,PROPAGATING,PROPAGATING,-0.3008104700077833
reflection,449.0,reflection_monitor,2,0.05088251075261985,PROPAGATING,PROPAGATING,-0.11987564153256941
reflection,449.0,reflection_monitor,3,0.021538955358188668,PROPAGATING,PROPAGATING,0.06105918694264453
reflection,449.0,reflection_monitor,4,0.004876089298310377,PROPAGATING,PROPAGATING,0.24199401541785842
reflection,449.0,reflection_monitor,5,0.08895194936364209,PROPAGATING,PROPAGATING,0.4229288438930724
reflection,449.0,reflection_monitor,6,0.3319376572950273,PROPAGATING,PROPAGATING,0.6038636723682863
reflection,449.0,reflection_monitor,7,0.08584906600769396,EVANESCENT,PROPAGATING,0.7847985008435002
reflection,449.0,reflection_monitor,8,0.12487118939592631,EVANESCENT,PROPAGATING,0.9657333293187141
transmission,450.0,transmission_monitor,-1,0.17480562619177936,PROPAGATING,PROPAGATING,-0.9472073060725693
transmission,450.0,transmission_monitor,0,0.10147448327036598,PROPAGATING,PROPAGATING,-0.6885866164173969
transmission,450.0,transmission_monitor,1,0.17324515385489628,PROPAGATING,PROPAGATING,-0.42996592676222456
transmission,450.0,transmission_monitor,2,0.18635016804797608,PROPAGATING,PROPAGATING,-0.1713452371070521
transmission,450.0,transmission_monitor,3,0.05583874269335496,PROPAGATING,PROPAGATING,0.08727545254812036
transmission,450.0,transmission_monitor,4,0.0692913063364263,PROPAGATING,PROPAGATING,0.34589614220329273
transmission,450.0,transmission_monitor,5,0.018188768584547862,PROPAGATING,PROPAGATING,0.6045168318584653
transmission,450.0,transmission_monitor,6,0.22080575102065325,PROPAGATING,PROPAGATING,0.8631375215136377
reflection,450.0,reflection_monitor,-2,0.009010225911458013,EVANESCENT,PROPAGATING,-0.8454938306125639
reflection,450.0,reflection_monitor,-1,0.12783305689772337,PROPAGATING,PROPAGATING,-0.664156029245423
reflection,450.0,reflection_monitor,0,0.01734588031950684,PROPAGATING,PROPAGATING,-0.48281822787828227
reflection,450.0,reflection_monitor,1,0.14417124883352073,PROPAGATING,PROPAGATING,-0.3014804265111414
reflection,450.0,reflection_monitor,2,0.06072926425813537,PROPAGATING,PROPAGATING,-0.12014262514400051
reflection,450.0,reflection_monitor,3,0.0370041166835941,PROPAGATING,PROPAGATING,0.06119517622314039
reflection,450.0,reflection_monitor,4,0.01365035592820229,PROPAGATING,PROPAGATING,0.24253297759028125
