geometry_id,wavelength_nm,role,p_T_total,s_T_total,abs_delta_T_total,p_R_total,s_R_total,abs_delta_R_total,p_eta_plus1,s_eta_plus1,abs_delta_eta_plus1,p_eta_0,s_eta_0,abs_delta_eta_0,p_eta_minus1,s_eta_minus1,abs_delta_eta_minus1,p_directionality,s_directionality,abs_delta_directionality,p_non_target_efficiency,s_non_target_efficiency,abs_delta_non_target_efficiency
K6X_D120_D145_D200_D215_D220_D230,453,coverage_exploration,0.6083271787324638,0.7346702377754414,0.1263430590429776,0.39104318159487134,0.2645027330081944,0.12654044858667696,0.1965615577154122,0.18163512357162434,0.014926434143787859,0.15945089601991153,0.3023910495164642,0.1429401534965527,0.007174532312168795,9.355584477601046e-05,0.007080976467392784,0.9647851673643214,0.9994851894314289,0.03470002206710754,0.4117656210170516,0.553035114203817,0.1412694931867654
K6X_D120_D145_D200_D215_D220_D230,454,coverage_exploration,0.6292612975639981,0.7513162280812261,0.12205493051722804,0.36853323692912493,0.2488689763476289,0.11966426058149604,0.23158851009709758,0.1727145501739331,0.058873959923164465,0.1696363465640478,0.3400243747590206,0.17038802819497278,0.0043356978103515405,0.0005249840915904718,0.0038107137187610688,0.9816224971197004,0.9969696057322238,0.015347108612523419,0.3976727874669005,0.578601677907293,0.1809288904403925
K6X_D120_D145_D200_D215_D220_D230,455,coverage_exploration,0.6386883965383584,0.7581588325023857,0.11947043596402729,0.3609205978000683,0.24252136543473435,0.11839923236533395,0.2542628668024844,0.15782440037854717,0.09643846642393722,0.16614366729588625,0.3889559436146393,0.22281227631875306,0.0032993728649590775,0.0016211127454829046,0.0016782601194761729,0.9871899977682321,0.9898328105086164,0.0026428127403842483,0.384425529735874,0.6003344321238385,0.2159089023879645
K6X_D140_D160_D165_D170_D180_D190,445,model_conflict_physics_stress,0.7126935424624437,0.7168736748313261,0.004180132368882483,0.2860557530692631,0.2828883499589746,0.0031674031102885136,0.12156021451281819,0.19990269772782943,0.07834248321501124,0.4974462361600091,0.3300374940991436,0.16740874206086548,0.013060633926287745,0.0006679944594965873,0.012392639466791158,0.9029820857785222,0.9966695310655223,0.09368744528700002,0.5911333279496255,0.5169709771034967,0.07416235084612877
K6X_D140_D160_D165_D170_D180_D190,446,model_conflict_physics_stress,0.6752117313523386,0.6878657234996279,0.01265399214728935,0.324046672686415,0.31161739219611334,0.012429280490301675,0.14590293107798122,0.16307634586359004,0.017173414785608826,0.42090273214445995,0.38199424375101176,0.03890848839344818,0.013075521662488725,0.0019064163439873627,0.011169105318501363,0.9177528687876064,0.9884447543581023,0.07069188557049588,0.5293088002743573,0.524789377636038,0.0045194226383193925
K6X_D140_D160_D165_D170_D180_D190,447,model_conflict_physics_stress,0.6482990530552916,0.6690383420673816,0.02073928901208999,0.35139408367401187,0.330728455568152,0.020665628105859868,0.18214976729482255,0.11388582041411394,0.06826394688070861,0.34077387909961443,0.4494672731125945,0.10869339401298006,0.012651268980660704,0.010009810194047907,0.0026414587866127968,0.9350554328531929,0.9192077222988968,0.015847710554296124,0.466149285760469,0.5551525216532676,0.08900323589279857
K6X_D140_D160_D165_D170_D180_D190,448,model_conflict_physics_stress,0.6372328096231599,0.6583666997838897,0.021133890160729862,0.3618507680554857,0.3412997871723882,0.020550980883097536,0.22419084716237894,0.07801248996282796,0.14617835719955097,0.2723876020150449,0.4689533331098185,0.1965657310947736,0.011663120337430692,0.017868602410138042,0.006205482072707351,0.950549399439549,0.8136378928534594,0.13691150658608953,0.41304196246078095,0.5803542098210618,0.16731224736028083
K6X_D140_D160_D165_D170_D180_D190,449,model_conflict_physics_stress,0.6433470725269222,0.654992679848216,0.011645607321293716,0.3561160128702546,0.34483058269372885,0.011285430176525724,0.2653634655376554,0.061910361316892294,0.2034531042207631,0.22595159323646688,0.4598572939796132,0.23390570074314634,0.01038878590768855,0.021744370620810697,0.011355584713122147,0.9623256533600862,0.7400700460434975,0.22225560731658878,0.37798360698926686,0.5930823185313236,0.2150987115420568
K6X_D140_D160_D165_D170_D180_D190,450,model_conflict_physics_stress,0.6605504037780812,0.6615955876788806,0.0010451839007994401,0.3393606812053197,0.33826824586303933,0.0010924353422803734,0.30021839418857915,0.058648418876173385,0.24156997531240576,0.2018127136156136,0.45103411986218417,0.24922140624657058,0.009300479697196362,0.02372206521400824,0.014421585516811877,0.969951817217361,0.7120076994079988,0.2579441178093622,0.360332009589502,0.6029471688027073,0.24261515921320526
K6X_D140_D160_D165_D170_D180_D190,451,model_conflict_physics_stress,0.6831387249113684,0.678316006382396,0.004822718528972425,0.31641032992416235,0.3215348747130367,0.005124544788874363,0.3271550506598328,0.06430779517154506,0.26284725548828775,0.19554547884182893,0.44969755289455837,0.25415207405272944,0.008415851909940321,0.02534377858158662,0.016927926671646297,0.974920793651975,0.7173080457976755,0.25761274785429955,0.3559836742515356,0.6140082112108509,0.2580245369593153
K6X_D140_D160_D165_D170_D180_D190,452,model_conflict_physics_stress,0.7076222192106196,0.7027352480950811,0.004886971115538485,0.2917993940670651,0.2972712903815337,0.005471896314468594,0.34690065277567006,0.07673365244247556,0.2701670003331945,0.20124839143317183,0.45471277157144285,0.253464380138271,0.007650548781608409,0.0268528997889687,0.01920235100736029,0.9784218788485125,0.7407684761148238,0.23765340273368873,0.36072156643494957,0.6260015956526056,0.26528002921765603
K6X_D140_D160_D165_D170_D180_D190,453,model_conflict_physics_stress,0.7307544223747393,0.7306589275559346,9.549481880466448e-05,0.26902191976159545,0.26926879197321746,0.0002468722116220068,0.3604519884319367,0.09347450292114513,0.2669774855107916,0.21329477195962898,0.4635000371008205,0.2502052651411915,0.007162043417686862,0.028126492335013416,0.02096444891732655,0.9805174917245364,0.7686985022140356,0.21181898951050082,0.3703024339428026,0.6371844246347895,0.2668819906919869
K6X_D140_D160_D165_D170_D180_D190,454,model_conflict_physics_stress,0.751670783467528,0.7590402217065306,0.007369438239002601,0.2483882928546541,0.24100707338667235,0.007381219467981759,0.3703681321101405,0.11223910375573025,0.25812902835441026,0.2279803590790476,0.47377274027932437,0.24579238120027677,0.007006880133698861,0.028956067087334458,0.021949186953635597,0.9814325805727396,0.7949216894994342,0.18651089107330543,0.3813026513573875,0.6468011179508004,0.2654984665934129
K6X_D140_D160_D165_D170_D180_D190,455,model_conflict_physics_stress,0.7716112626684791,0.7851005748853166,0.013489312216837468,0.22827644370521405,0.21491280423598064,0.013363639469233413,0.3798244868402577,0.1308129454192772,0.2490115414209805,0.2433449396293171,0.48369043104925885,0.24034549141994174,0.006918485964618997,0.02924739988852518,0.022328913923906183,0.9821108941826603,0.8172726678036257,0.16483822637903456,0.3917867758282214,0.6542876294660394,0.26250085363781794
