candidate_id,wavelength_nm,angle_deg_internal_GaN,polarization,phase_error_deg,R_top,R_bottom
R2_4B_OPT_06361,450.0,40.0,TE,18.49221256143401,1.0,0.9999999999999998
R2_4B_OPT_06361,450.0,60.0,TE,165.4764365769564,0.9999999999999998,1.0
R2_4B_OPT_06361,450.25,20.0,TE,80.00941088891065,0.9999594141689936,0.999999784345378
R2_4B_OPT_06361,450.25,30.0,TE,120.56012261510168,0.9999999999999998,1.0
R2_4B_OPT_06361,450.25,36.0,TE,101.59576397001607,1.0,0.9999999999999998
R2_4B_OPT_06361,450.25,40.0,TE,10.943707951707573,1.0,1.0
R2_4B_OPT_06361,450.25,60.0,TE,165.08355688377407,1.0000000000000004,1.0
R2_4B_OPT_06361,450.5,20.0,TE,80.5249842752745,0.9999595753643022,0.9999997821774448
R2_4B_OPT_06361,450.5,30.0,TE,120.99052310105814,0.9999999999999998,1.0
R2_4B_OPT_06361,450.5,36.0,TE,127.09814456099191,1.0,1.0
R2_4B_OPT_06361,450.5,40.0,TE,63.20713651146342,0.9999999999999998,1.0
R2_4B_OPT_06361,450.5,60.0,TE,164.69110310138657,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,450.75,20.0,TE,81.03974832933572,0.9999597323639569,0.9999997799703687
R2_4B_OPT_06361,450.75,30.0,TE,121.4194367953842,1.0,1.0
R2_4B_OPT_06361,450.75,36.0,TE,145.21587797343133,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,450.75,40.0,TE,25.086629957100797,1.0,0.9999999999999998
R2_4B_OPT_06361,450.75,60.0,TE,164.2990745336986,1.0,0.9999999999999998
R2_4B_OPT_06361,451.0,20.0,TE,81.55370230729984,0.999959885232682,0.9999997777234068
R2_4B_OPT_06361,451.0,30.0,TE,121.84685716647606,1.0,0.9999999999999998
R2_4B_OPT_06361,451.0,36.0,TE,158.16204235505654,1.0,0.9999999999999998
R2_4B_OPT_06361,451.0,40.0,TE,11.916270222417635,1.0,0.9999999999999998
R2_4B_OPT_06361,451.0,60.0,TE,163.9074704861433,1.0,1.0
R2_4B_OPT_06361,451.25,20.0,TE,82.06684546925405,0.9999600340334699,0.9999997754357974
R2_4B_OPT_06361,451.25,30.0,TE,122.27277755010516,1.0,1.0
R2_4B_OPT_06361,451.25,36.0,TE,167.6622262502202,1.0,1.0
R2_4B_OPT_06361,451.25,40.0,TE,2.1572414995084697,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,451.25,60.0,TE,163.51629026567934,1.0,0.9999999999999998
R2_4B_OPT_06361,451.5,20.0,TE,82.57917707893463,0.999960178827626,0.9999997731067614
R2_4B_OPT_06361,451.5,30.0,TE,122.69719114626069,0.9999999999999996,1.0
R2_4B_OPT_06361,451.5,36.0,TE,174.8515431757764,1.0,1.0
R2_4B_OPT_06361,451.5,40.0,TE,6.445709442251415,1.0,0.9999999999999998
R2_4B_OPT_06361,451.5,60.0,TE,163.12553318078628,1.0,0.9999999999999998
R2_4B_OPT_06361,451.75,20.0,TE,83.0906964035031,0.9999603196748145,0.9999997707355022
R2_4B_OPT_06361,451.75,30.0,TE,123.12009101588751,1.0,1.0
R2_4B_OPT_06361,451.75,36.0,TE,179.54696881242506,0.9999999999999996,1.0
R2_4B_OPT_06361,451.75,40.0,TE,14.457855203634752,0.9999999999999996,1.0000000000000004
R2_4B_OPT_06361,451.75,60.0,TE,162.7351985414609,1.0,0.9999999999999998
R2_4B_OPT_06361,452.0,20.0,TE,83.60140271331927,0.9999604566330992,0.9999997683212037
R2_4B_OPT_06361,452.0,30.0,TE,123.54147007752611,1.0,0.9999999999999998
R2_4B_OPT_06361,452.0,36.0,TE,175.06749752893953,1.0000000000000004,1.0
R2_4B_OPT_06361,452.0,40.0,TE,22.066675568339544,1.0,1.0
R2_4B_OPT_06361,452.0,60.0,TE,162.345285659212,1.0,0.9999999999999998
R2_4B_OPT_06361,452.25,20.0,TE,84.11129528172093,0.9999605897589889,0.9999997658630325
R2_4B_OPT_06361,452.25,30.0,TE,123.96132110383833,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,452.25,36.0,TE,171.4022944563962,1.0,1.0
R2_4B_OPT_06361,452.25,40.0,TE,29.339840247154687,1.0,1.0
R2_4B_OPT_06361,452.25,60.0,TE,161.95579384705724,1.0000000000000004,1.0
R2_4B_OPT_06361,452.5,20.0,TE,84.62037338480488,0.9999607191074743,0.9999997633601347
R2_4B_OPT_06361,452.5,30.0,TE,124.379636718027,1.0,1.0
R2_4B_OPT_06361,452.5,36.0,TE,168.3421793415967,1.0,1.0
R2_4B_OPT_06361,452.5,40.0,TE,36.30071718563214,1.0,1.0
R2_4B_OPT_06361,452.5,60.0,TE,161.5667224195194,0.9999999999999998,0.9999999999999998
R2_4B_OPT_06361,452.75,20.0,TE,85.12863630121034,0.9999608447320681,0.9999997608116372
R2_4B_OPT_06361,452.75,30.0,TE,124.79640939013431,1.0,1.0
R2_4B_OPT_06361,452.75,36.0,TE,165.74096461085546,1.0,1.0
R2_4B_OPT_06361,452.75,40.0,TE,42.95606203672272,1.0,0.9999999999999998
R2_4B_OPT_06361,452.75,60.0,TE,161.17807069261985,1.0,1.0
R2_4B_OPT_06361,453.0,20.0,TE,85.63608331190598,0.999960966684845,0.9999997582166456
R2_4B_OPT_06361,453.0,30.0,TE,125.21163143322433,1.0,1.0
R2_4B_OPT_06361,453.0,36.0,TE,163.49381038738267,1.0,1.0
R2_4B_OPT_06361,453.0,40.0,TE,49.307564009377735,1.0,1.0
R2_4B_OPT_06361,453.0,60.0,TE,160.7898379838771,0.9999999999999998,1.0
R2_4B_OPT_06361,453.25,20.0,TE,86.14271369997627,0.9999610850164762,0.9999997555742449
R2_4B_OPT_06361,453.25,30.0,TE,125.62529499943317,1.0,0.9999999999999996
R2_4B_OPT_06361,453.25,36.0,TE,161.52373152786174,0.9999999999999996,1.0000000000000004
R2_4B_OPT_06361,453.25,40.0,TE,55.35688754577474,1.0,0.9999999999999998
R2_4B_OPT_06361,453.25,60.0,TE,160.40202361230172,1.0,1.0
R2_4B_OPT_06361,453.5,20.0,TE,86.64852675041358,0.9999611997762643,0.9999997528834994
R2_4B_OPT_06361,453.5,30.0,TE,126.03739207589467,1.0,1.0
R2_4B_OPT_06361,453.5,36.0,TE,159.77296610902079,1.0,1.0
R2_4B_OPT_06361,453.5,40.0,TE,61.107751916893626,1.0,0.9999999999999998
R2_4B_OPT_06361,453.5,60.0,TE,160.01462689839167,1.0,1.0
R2_4B_OPT_06361,453.75,20.0,TE,87.15352174991142,0.9999613110121812,0.9999997501434507
R2_4B_OPT_06361,453.75,30.0,TE,126.44791448052514,0.9999999999999998,1.0000000000000004
R2_4B_OPT_06361,453.75,36.0,TE,158.19731252507847,1.0000000000000004,0.9999999999999998
