record_id,geometry_id,source_id,source_relative_path,source_row_identifier,source_candidate_id,source_commit,extraction_rule,dedup_action,conflict_status,notes
MAN_EX_N2_L81_H42_C159,GEO_f3c3d792d0d97769,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C159,EX_N2_L81_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C160,GEO_f25878507b984f42,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C160,EX_N2_L81_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C161,GEO_1664d7c4a7138817,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C161,EX_N2_L81_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L81_H42_C162,GEO_cb2a471e4c13a787,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L81_H42_C162,EX_N2_L81_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C152,GEO_7df2799e1058127c,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C152,EX_N2_L82_H42_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C153,GEO_7e7d7f6d176db180,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C153,EX_N2_L82_H42_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C154,GEO_9833d8abbaffbd5f,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C154,EX_N2_L82_H42_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C155,GEO_b2138a311d687a01,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C155,EX_N2_L82_H42_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C156,GEO_1028aaecc7f9d4f4,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C156,EX_N2_L82_H42_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C157,GEO_9e909d1e0e017be1,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C157,EX_N2_L82_H42_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C158,GEO_9edd118f2737bacf,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C158,EX_N2_L82_H42_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C159,GEO_9521e85446af16c4,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C159,EX_N2_L82_H42_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C160,GEO_36ff7dd03b772e55,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C160,EX_N2_L82_H42_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C161,GEO_d9617596874663c7,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C161,EX_N2_L82_H42_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L82_H42_C162,GEO_aae1e324dc229d82,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L82_H42_C162,EX_N2_L82_H42_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C152,GEO_f10d0acbf2bce979,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C152,EX_N2_L76_H43_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C153,GEO_5235003640ead811,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C153,EX_N2_L76_H43_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C154,GEO_69f4b457ab6f1ba8,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C154,EX_N2_L76_H43_C154,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C155,GEO_1ff10566d209ed03,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C155,EX_N2_L76_H43_C155,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C156,GEO_3e551275c5816c7f,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C156,EX_N2_L76_H43_C156,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C157,GEO_065f31a91c9731f7,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C157,EX_N2_L76_H43_C157,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C158,GEO_7621848447e71112,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C158,EX_N2_L76_H43_C158,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C159,GEO_f3f654b1c46e5b41,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C159,EX_N2_L76_H43_C159,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C160,GEO_b4b7985ad88bdf3a,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C160,EX_N2_L76_H43_C160,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C161,GEO_7b16ff413767394b,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C161,EX_N2_L76_H43_C161,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L76_H43_C162,GEO_409dab59c8a71c44,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L76_H43_C162,EX_N2_L76_H43_C162,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H43_C152,GEO_5fcedf68842fe2d6,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H43_C152,EX_N2_L77_H43_C152,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
MAN_EX_N2_L77_H43_C153,GEO_8e95c2f7e064961d,coarse_manifest,outputs/mdc_native_m1_topology_coarse_scan/manifest.csv,EX_N2_L77_H43_C153,EX_N2_L77_H43_C153,81371ba1b38368cfff3e4eb680f4be9d30f58ed6,compiled_layer_sequence,geometry_master,false,
