selection,rank,geometry_id,polarization,wavelength_nm,diffraction_order_m,fdt_absolute_order_efficiency,predicted_raw_order_efficiency,absolute_prediction_error,spectral_provider
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,-3,0.018594949211584947,0.01790786434048981,0.000687084871095138,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,-2,0.02883635851690329,0.033022307309126156,0.0041859487922228655,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,-1,0.07130577262955509,0.05143505596948724,0.01987071666006785,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,0,0.4732322397619995,0.4487084977925903,0.024523741969409207,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,1,0.031590093434391585,0.03428792274011569,0.0026978293057241046,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,2,0.0032556223050102875,0.05893191604390511,0.05567629373889482,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,453,3,0.03988688616635052,0.028065950460777603,0.011820935705572917,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,-3,0.021619063986369327,0.01889731746124846,0.0027217465251208675,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,-2,0.03815961795586933,0.02806142997457974,0.01009818798128959,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,-1,0.08167440823844935,0.054796135839722517,0.02687827239872683,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,0,0.49828515089350817,0.42148066504651927,0.0768044858469889,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,1,0.03279978170966338,0.05279758054391995,0.01999779883425657,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,2,0.0009758436708214747,0.06118800747909616,0.06021216380827469,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,454,3,0.03272878338263997,0.03354542778677997,0.0008166444041399976,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,-3,0.020825161033266183,0.019271598240045942,0.0015535627932202409,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,-2,0.0406220234621107,0.022255596058480945,0.018366427403629752,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,-1,0.07129217742764596,0.05183197969052827,0.019460197737117692,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,0,0.5796301483144278,0.41673356797227684,0.162896580342151,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,1,0.028487932542487923,0.06410899474491444,0.035621062202426515,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,2,0.0010075968280875243,0.05953149185004438,0.05852389502195686,LF_ridge_residual/ensemble_raw
Best,1,K6X_D110_D190_D210_D215_D220_D225,S_YLIKE,455,3,0.024583555273360917,0.03682209323842345,0.01223853796506253,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,P_XLIKE,445,-3,0.0213571590208,0.02764592702535344,0.006288768004553438,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,P_XLIKE,445,-2,0.156002663641,0.012661426548839977,0.14334123709216,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,P_XLIKE,445,-1,0.00950369943347,0.02133949234016892,0.011835792906698919,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,P_XLIKE,445,0,0.011963960308,0.16578096188554217,0.15381700157754216,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,P_XLIKE,445,1,0.572324908298,0.5927795669038521,0.02045465860585216,LF_ridge_residual/ensemble_raw
Median,11,K6X_D100_D130_D135_D155_D160_D225,P_XLIKE,445,2,0.0285349515185,0.025581099930736807,0.0029538515877631927,LF_ridge_residual/ensemble_raw
