model,slice,value,rows,order_profile_mae,order_profile_rmse,eta_plus1_mae,R_mae,T_mae
circular_cnn,polarization,s,143,0.06368241241629949,0.14562635146798136,0.13209689616379777,0.07955121435950496,0.23314501466905393
circular_cnn,wavelength,445,26,0.0648201059345523,0.14025128039626983,0.15186921138120066,0.07565555787740014,0.2204765525432468
circular_cnn,wavelength,446,26,0.06313233461863854,0.1383499176537011,0.1445565670608363,0.07746212493960472,0.213960801318124
circular_cnn,wavelength,447,26,0.06165759237354374,0.1364736946734044,0.13947176987723295,0.08119308884993931,0.21156681978485786
circular_cnn,wavelength,448,26,0.061768216419843654,0.13669825926499102,0.14335713589996507,0.09438357540944821,0.21419584486003157
circular_cnn,wavelength,449,26,0.06382420028139522,0.13800175662552275,0.15078862740179635,0.09920827352948637,0.21890015942490895
circular_cnn,wavelength,450,26,0.060804887966276755,0.13407242187342497,0.12914189296336812,0.08654047286049156,0.20212674387912344
circular_cnn,wavelength,451,26,0.05894500336436512,0.13314135718967837,0.12355396829303407,0.08036288287337646,0.20709614886835853
circular_cnn,wavelength,452,26,0.062246864810327755,0.13954646281925334,0.12219097263002208,0.06720860779990954,0.22616664297731415
circular_cnn,wavelength,453,26,0.061023485259833844,0.14273032007766998,0.12124455438020698,0.08087414314125102,0.23947801437517136
circular_cnn,wavelength,454,26,0.05976063041370575,0.1393456900343413,0.11639974560285161,0.07261962228958742,0.24020786561484184
circular_cnn,wavelength,455,26,0.06055960468765526,0.13754343356400792,0.12546576060585685,0.07131330565581331,0.24159117482721412
