frequency_hz,wavelength_nm,epsilon_real,epsilon_imag,n_real,k_imag,material_name
498134785570676.1,601.8299999999999,5.294753161099997,0.2908220459999999,2.301899999999999,0.06317,APCD_GAN_NATIVE_M1
502131277636339.2,597.04,5.303915336399999,0.292871768,2.3039,0.06355999999999999,APCD_GAN_NATIVE_M1
506132593868179.4,592.3199999999999,5.3135476764,0.29489128,2.306,0.06394,APCD_GAN_NATIVE_M1
510128740130683.4,587.6799999999999,5.323187261100001,0.296960146,2.3081,0.06433000000000001,APCD_GAN_NATIVE_M1
514126765104354.2,583.11,5.332834067099998,0.2990784919999999,2.3102,0.06472999999999998,APCD_GAN_NATIVE_M1
518125262266466.2,578.6099999999999,5.3424906756,0.301153952,2.3123,0.06512,APCD_GAN_NATIVE_M1
522122780312793.9,574.1800000000001,5.352616069099997,0.3033383699999999,2.314499999999999,0.06553,APCD_GAN_NATIVE_M1
526117823172229.9,569.8199999999999,5.362752125099999,0.305480062,2.3167,0.06593,APCD_GAN_NATIVE_M1
530118223935493.1,565.52,5.372896214399999,0.3076716519999999,2.3189,0.06633999999999998,APCD_GAN_NATIVE_M1
534113306846728.1,561.29,5.3830483124,0.309913272,2.3211,0.06676,APCD_GAN_NATIVE_M1
538111103532452.6,557.12,5.393674407600001,0.3121720240000001,2.3234,0.06718000000000003,APCD_GAN_NATIVE_M1
542110374134283.3,553.01,5.404310729999998,0.3144346399999999,2.325699999999999,0.06759999999999999,APCD_GAN_NATIVE_M1
546109840425531.9,548.96,5.4149559191,0.31674768,2.328,0.06802999999999999,APCD_GAN_NATIVE_M1
550108185771693.9,544.9699999999999,5.426076019100001,0.3191249760000001,2.3304,0.06847000000000002,APCD_GAN_NATIVE_M1
554104055153038.6,541.04,5.4367407019,0.321492714,2.3327,0.06890999999999999,APCD_GAN_NATIVE_M1
558096055252527.1,537.1700000000001,5.447882587499999,0.3238783699999999,2.3351,0.06934999999999999,APCD_GAN_NATIVE_M1
562093293334583.4,533.3499999999999,5.45950172,0.32632896,2.3376,0.0698,APCD_GAN_NATIVE_M1
566094750557045.1,529.58,5.470663532399998,0.3288167999999999,2.339999999999999,0.07026,APCD_GAN_NATIVE_M1
570088535189305.5,525.8699999999998,5.482304931599999,0.3313232,2.3425,0.07072000000000001,APCD_GAN_NATIVE_M1
