candidate_id,score,failure_mode,pass_level,corrected_proxy_peak_abs_angle_deg,corrected_proxy_angular_FWHM_deg,corrected_normal_offaxis_ratio,offaxis_20_60_response,offaxis_30_40_response,spectral_fwhm_nm_normal_window
R2_4D2_OPT_12475,-31.335779,peak_angle_gt7;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.5,7.269,6.344684,0.0943178025,0.1832931791,5.042
R2_4D2_OPT_06472,-31.409958,peak_angle_gt7;spectral_fwhm_gt8;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule;spectral_peak_rule,fail_corrected_proxy,7.5,11.4,5.925055,0.2537306407,0.2376264053,8.518
R2_4D2_OPT_12016,-31.473463,peak_angle_gt7;spectral_peak_outside_450_456;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.5,8.266,7.032307,0.0771864179,0.1973301333,4.53
R2_4D2_OPT_03579,-31.889505,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,10.615,8.182684,0.2840891191,0.6889057897,4.781
R2_4D2_OPT_12157,-31.902317,peak_angle_gt7;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,9.0,9.118,4.733757,0.1116355722,0.0887427646,7.874
R2_4D2_OPT_12873,-31.94589,30_40_resonance_risk;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.5,10.292,8.537726,0.2671169847,0.7332257419,4.706
R2_4D2_OPT_12431,-31.981141,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,7.0,11.696,6.197263,0.233700668,0.3688468745,5.219
R2_4D2_OPT_09488,-32.087817,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,11.589,8.067248,0.3236145628,0.7621553682,4.985
R2_4D2_OPT_07576,-32.18792,spectral_fwhm_gt8;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule,fail_corrected_proxy,6.5,12.655,5.717738,0.483956582,0.375879985,9.822
R2_4D2_OPT_12540,-32.26324,peak_angle_gt7;spectral_peak_outside_450_456;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,9.0,8.738,5.293047,0.055847968,0.0867118902,5.962
R2_4D2_OPT_12941,-32.279388,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,10.634,8.780109,0.3856411628,0.9956911241,4.811
R2_4D2_OPT_04080,-32.28152,peak_angle_gt7;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.5,8.715,7.114436,0.1158840819,0.3240020004,3.413
R2_4D2_OPT_12445,-32.315005,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,23.902,6.990489,0.2994583044,0.4536270346,5.519
R2_4D2_OPT_07250,-32.598284,spectral_peak_outside_450_456;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.5,11.683,6.893527,0.2563288553,0.524800759,5.708
R2_4D2_OPT_12875,-32.631388,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,11.777,7.636478,0.395948531,0.8139297587,5.307
R2_4D2_OPT_13207,-32.73542,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,24.648,6.272052,0.2529485958,0.3754545194,5.522
R2_4D2_OPT_13048,-33.216635,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,11.679,7.766182,0.365591226,0.8476773985,5.895
R2_4D2_OPT_09791,-33.372821,spectral_fwhm_gt8;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_fwhm_rule,fail_corrected_proxy,7.0,11.984,5.404344,0.3807934254,0.3255006815,8.871
R2_4D2_OPT_12359,-33.503532,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,7.0,10.749,7.223705,0.2930611643,0.6092985794,4.322
R2_4D2_OPT_13009,-33.556407,peak_angle_gt7;30_40_resonance_risk;peak_angle_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,9.5,8.167,4.947547,0.0278280081,0.077797106,3.025
R2_4D2_OPT_00729,-33.601098,angular_fwhm_gt15;spectral_peak_outside_450_456;angular_fwhm_rule;offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold;spectral_peak_rule,fail_corrected_proxy,6.0,25.506,5.287994,0.2773713538,0.3262457998,5.502
R2_4D2_OPT_12908,-33.653243,offaxis20_60_above_threshold;offaxis30_40_above_threshold;30_40_to_normal_above_threshold,fail_corrected_proxy,6.0,11.231,8.615779,0.4662794631,1.193155078,4.993
