candidate_id,wavelength_nm,input_polarization,order_m,order_n,target_order,reflected_power,transmitted_power,propagating_estimate,energy_balance_error
H1C1B_V2_015,435.0,y,4,3,False,-4.235164736271502e-22,4.235164736271502e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,4,-3,False,-0.0,4.235164736271502e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,3,-4,False,-0.0,-2.6469779601696886e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,3,False,-0.0,-4.235164736271502e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,-4,False,-4.235164736271502e-22,-1.0587911840678754e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-4,-3,False,-4.235164736271502e-22,-4.235164736271502e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-3,4,False,5.293955920339377e-23,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-5,1,False,6.352747104407253e-22,-5.293955920339377e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-5,-1,False,-0.0,3.441071348220595e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,5,False,-8.470329472543003e-22,2.541098841762901e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,-1,-5,False,-1.4823076576950256e-21,2.329340604949326e-21,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,-5,False,-8.470329472543003e-22,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,5,-1,False,2.541098841762901e-21,2.117582368135751e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,1,5,False,8.470329472543003e-22,-8.470329472543003e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,5,1,False,-1.0587911840678754e-21,-2.6469779601696886e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,5,-2,False,-2.117582368135751e-22,-4.235164736271502e-22,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,-5,False,-2.117582368135751e-22,0.0,False,3.552713678800501e-15
H1C1B_V2_015,435.0,y,2,5,False,-0.0,0.0,False,3.552713678800501e-15
