geometry_id,wavelength_nm,metric,p_value,s_value,delta_p_minus_s,abs_delta
K6X_D100_D105_D115_D120_D125_D130,452,directionality,0.8395579129063819,0.8444282109727663,-0.004870298066384393,0.004870298066384393
K6X_D100_D105_D115_D120_D125_D130,452,tx_-3,0.013263760134577751,0.01155642420053482,0.0017073359340429306,0.0017073359340429306
K6X_D100_D105_D115_D120_D125_D130,452,tx_-2,0.02456352859735489,0.030009815469384193,-0.0054462868720293045,0.0054462868720293045
K6X_D100_D105_D115_D120_D125_D130,452,tx_-1,0.04879537224769592,0.047397442162036896,0.001397930085659027,0.001397930085659027
K6X_D100_D105_D115_D120_D125_D130,452,tx_0,0.5759330987930298,0.5741261839866638,0.0018069148063659668,0.0018069148063659668
K6X_D100_D105_D115_D120_D125_D130,452,tx_1,0.25533536076545715,0.25726860761642456,-0.0019332468509674072,0.0019332468509674072
K6X_D100_D105_D115_D120_D125_D130,452,tx_2,0.03232961893081665,0.046445347368717194,-0.014115728437900543,0.014115728437900543
K6X_D100_D105_D115_D120_D125_D130,452,tx_3,0.008814658038318157,0.006369951646775007,0.00244470639154315,0.00244470639154315
K6X_D100_D105_D115_D120_D125_D130,453,T,0.9591183621227378,0.9736127227522492,-0.014494360629511371,0.014494360629511371
K6X_D100_D105_D115_D120_D125_D130,453,R,0.040607776889788914,0.02621829210826684,0.014389484781522074,0.014389484781522074
K6X_D100_D105_D115_D120_D125_D130,453,eta_plus1,0.2486640326120206,0.2507496671407875,-0.0020856345287668943,0.0020856345287668943
K6X_D100_D105_D115_D120_D125_D130,453,eta_0,0.5840210974583181,0.5819902957550971,0.002030801703221008,0.002030801703221008
K6X_D100_D105_D115_D120_D125_D130,453,eta_minus1,0.048186026131659496,0.04729089320284919,0.0008951329288103063,0.0008951329288103063
K6X_D100_D105_D115_D120_D125_D130,453,directionality,0.8376755378267704,0.8413273242127735,-0.003651786386003053,0.003651786386003053
K6X_D100_D105_D115_D120_D125_D130,453,tx_-3,0.013108490034937859,0.01158798485994339,0.0015205051749944687,0.0015205051749944687
K6X_D100_D105_D115_D120_D125_D130,453,tx_-2,0.024204883724451065,0.029788481071591377,-0.005583597347140312,0.005583597347140312
K6X_D100_D105_D115_D120_D125_D130,453,tx_-1,0.04818602651357651,0.04729089140892029,0.0008951351046562195,0.0008951351046562195
K6X_D100_D105_D115_D120_D125_D130,453,tx_0,0.5840210914611816,0.5819903016090393,0.002030789852142334,0.002030789852142334
K6X_D100_D105_D115_D120_D125_D130,453,tx_1,0.2486640363931656,0.2507496774196625,-0.002085641026496887,0.002085641026496887
