full_path,relative_path,name,extension,is_directory,size_bytes,last_modified,depth,category,priority_name_match
F:\wc_312\al_grating_h1\h1_55.fsp,al_grating_h1\h1_55.fsp,h1_55.fsp,.fsp,False,492373,2026-03-17T21:10:00,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_55_p0.log,al_grating_h1\h1_55_p0.log,h1_55_p0.log,.log,False,4513,2026-03-17T21:10:00,2,file,False
F:\wc_312\al_grating_h1\h1_56.fsp,al_grating_h1\h1_56.fsp,h1_56.fsp,.fsp,False,492381,2026-03-17T21:10:01,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_56_p0.log,al_grating_h1\h1_56_p0.log,h1_56_p0.log,.log,False,4513,2026-03-17T21:10:01,2,file,False
F:\wc_312\al_grating_h1\h1_57.fsp,al_grating_h1\h1_57.fsp,h1_57.fsp,.fsp,False,492381,2026-03-17T21:10:06,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_57_p0.log,al_grating_h1\h1_57_p0.log,h1_57_p0.log,.log,False,4511,2026-03-17T21:10:06,2,file,False
F:\wc_312\al_grating_h1\h1_58.fsp,al_grating_h1\h1_58.fsp,h1_58.fsp,.fsp,False,492381,2026-03-17T21:10:06,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_58_p0.log,al_grating_h1\h1_58_p0.log,h1_58_p0.log,.log,False,4513,2026-03-17T21:10:06,2,file,False
F:\wc_312\al_grating_h1\h1_59.fsp,al_grating_h1\h1_59.fsp,h1_59.fsp,.fsp,False,492389,2026-03-17T21:10:06,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_59_p0.log,al_grating_h1\h1_59_p0.log,h1_59_p0.log,.log,False,4513,2026-03-17T21:10:06,2,file,False
F:\wc_312\al_grating_h1\h1_5_p0.log,al_grating_h1\h1_5_p0.log,h1_5_p0.log,.log,False,4510,2026-03-17T21:08:57,2,file,False
F:\wc_312\al_grating_h1\h1_6.fsp,al_grating_h1\h1_6.fsp,h1_6.fsp,.fsp,False,492261,2026-03-17T21:08:58,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_60.fsp,al_grating_h1\h1_60.fsp,h1_60.fsp,.fsp,False,492373,2026-03-17T21:10:06,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_60_p0.log,al_grating_h1\h1_60_p0.log,h1_60_p0.log,.log,False,4513,2026-03-17T21:10:06,2,file,False
F:\wc_312\al_grating_h1\h1_61.fsp,al_grating_h1\h1_61.fsp,h1_61.fsp,.fsp,False,492373,2026-03-17T21:10:11,2,heavy_binary_not_opened,False
F:\wc_312\al_grating_h1\h1_61_p0.log,al_grating_h1\h1_61_p0.log,h1_61_p0.log,.log,False,4512,2026-03-17T21:10:11,2,file,False
