candidate_path,name,extension,category,size_bytes,last_modified,baseline_role,confidence,score,evidence,needs_gui_lumerical_audit
F:\wc_312\MDC_blue_oujizi_source1\source1_7.fsp,source1_7.fsp,.fsp,heavy_binary_not_opened,718374,2026-04-05T15:23:29,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_70.fsp,source1_70.fsp,.fsp,heavy_binary_not_opened,1210451,2026-04-02T19:06:19,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_71.fsp,source1_71.fsp,.fsp,heavy_binary_not_opened,1210451,2026-04-02T19:06:19,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_72.fsp,source1_72.fsp,.fsp,heavy_binary_not_opened,1201563,2026-04-02T19:06:19,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_73.fsp,source1_73.fsp,.fsp,heavy_binary_not_opened,1206019,2026-04-02T19:06:33,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_74.fsp,source1_74.fsp,.fsp,heavy_binary_not_opened,1214907,2026-04-02T19:06:33,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_75.fsp,source1_75.fsp,.fsp,heavy_binary_not_opened,1214907,2026-04-02T19:06:33,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_76.fsp,source1_76.fsp,.fsp,heavy_binary_not_opened,1228227,2026-04-02T19:06:33,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_77.fsp,source1_77.fsp,.fsp,heavy_binary_not_opened,1241571,2026-04-02T19:06:47,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_78.fsp,source1_78.fsp,.fsp,heavy_binary_not_opened,1246003,2026-04-02T19:06:47,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_79.fsp,source1_79.fsp,.fsp,heavy_binary_not_opened,1254915,2026-04-02T19:06:47,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_8.fsp,source1_8.fsp,.fsp,heavy_binary_not_opened,723574,2026-04-05T15:23:29,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_80.fsp,source1_80.fsp,.fsp,heavy_binary_not_opened,1259371,2026-04-02T19:06:47,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_81.fsp,source1_81.fsp,.fsp,heavy_binary_not_opened,1259371,2026-04-02T19:07:01,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_82.fsp,source1_82.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:02,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_83.fsp,source1_83.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:02,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_84.fsp,source1_84.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:02,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_85.fsp,source1_85.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:16,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_86.fsp,source1_86.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:17,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_87.fsp,source1_87.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:16,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_88.fsp,source1_88.fsp,.fsp,heavy_binary_not_opened,1259371,2026-04-02T19:07:17,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
F:\wc_312\MDC_blue_oujizi_source1\source1_89.fsp,source1_89.fsp,.fsp,heavy_binary_not_opened,1263803,2026-04-02T19:07:31,preferred_blue_or_453nm_MDC_baseline,medium,6,blue_name;fsp_or_possible_fsp;source_variant,yes
