geometry_uid,wavelength_nm,useful_power,DoLP,x_fidelity,leakage,rank_contrast,rank_one_error,total_power
H1C1B_V2_009,450.0,0.46391699549014925,0.5725492670241655,0.7861773678153886,0.1261750301544849,1.9239091216971842,0.5197750708296689,0.5900920256446341
H1C1B_V2_009,451.0,0.3374436570962467,0.8809244049931609,0.8192610208065023,0.07444418881159132,6.812534882675207,0.1467882392122609,0.411887845907838
H1C1B_V2_009,452.0,0.45623375905533925,0.8161689460611332,0.9069700436234757,0.046796922346904,3.1869657458276692,0.3137780822743972,0.5030306814022433
H1C1B_V2_009,453.0,0.21320327847911077,0.7680043998059826,0.8712008280154768,0.03152017864244654,2.8664737205776603,0.348860689990375,0.24472345712155733
H1C1B_V2_009,454.0,0.37888441038910897,0.9381247118513999,0.9673559729698247,0.012785689321876889,6.212827596828817,0.16095730718657394,0.3916700997109859
H1C1B_V2_009,455.0,0.022843397276664575,0.767285279952948,0.8764834111607781,0.00321915791352634,5.368083978638164,0.18628620639681037,0.026062555190190916
H1C1B_V2_009,456.0,0.1438056821582919,0.9047678518919791,0.95238065851418,0.007190330699261088,4.735576046883784,0.2111675517613203,0.15099601285755299
H1C1B_V2_009,457.0,0.28816245339577407,0.7935798112712549,0.8967789041398593,0.03316809091733458,2.964612247385563,0.33731224070934795,0.32133054431310865
H1C1B_V2_009,458.0,0.3543981323025401,0.6374885442450897,0.818601137952132,0.0785332623313917,2.128302649446328,0.4698579876598599,0.43293139463393177
H1C1B_V2_009,459.0,0.40312169827768585,0.49454202618899845,0.7472353206520066,0.13636256743654532,1.7200806992530735,0.5813680721109418,0.5394842657142311
H1C1B_V2_009,460.0,0.41190559420109885,0.3386697113797288,0.6693045042511814,0.20351771698958152,1.4229811242093087,0.7027500105144813,0.6154233111906804
H1C1B_V2_009,461.0,0.43172962695591177,0.24556934839340894,0.6227398748268997,0.26154479533143216,1.2850470501692932,0.7781816236753815,0.6932744222873439
H1C1B_V2_009,462.0,0.4422020285273024,0.172050519174967,0.5860171680410077,0.3123868344671662,1.1898383748982337,0.8404502839182082,0.7545888629944686
H1C1B_V2_009,463.0,0.44291303171168084,0.10576333883002438,0.5528678602551886,0.35820612089604054,1.1120113355887145,0.8992714084794701,0.8011191526077214
H1C1B_V2_009,464.0,0.4512961256393835,0.0794900832349014,0.5396887001916701,0.38491950288703536,1.0829690438890311,0.9233874279627767,0.8362156285264188
H1C1B_V2_009,465.0,0.4553477843695098,0.05096938517292293,0.525483653509026,0.4111830417158128,1.0523507923333832,0.9502534775335651,0.8665308260853226
H1C1B_V2_015,435.0,0.49680009825009414,0.22850014292195703,0.6142351939902329,0.3120107662377423,1.2619006620951156,0.7924554048016064,0.8088108644878365
H1C1B_V2_015,436.0,0.49031322146553347,0.22209997219797517,0.6109956670530058,0.31216910026752276,1.2534493551229826,0.7977984877593116,0.8024823217330562
H1C1B_V2_015,437.0,0.48744139733602293,0.21919905758363215,0.6095120697026125,0.31228254836672714,1.2496505266356577,0.8002237255020622,0.7997239457027501
H1C1B_V2_015,438.0,0.45301423229482396,0.18989848321460712,0.594782511482744,0.30863262777424005,1.2121173636362117,0.82500261938342,0.761646860069064
H1C1B_V2_015,439.0,0.25117132535795106,0.09339011984985109,0.4547774936933973,0.30112365150668285,1.098266031173853,0.9105262036841621,0.5522949768646339
