model,held_out_case,case_id,u_x,polarization,wavelength_nm,output,truth,prediction,error
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,eta_minus1,0.042936247525404904,0.001877055333793606,-0.0410591921916113
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,452,eta_minus1,0.04507402551738376,0.0020354675143555204,-0.043038558003028235
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,453,eta_minus1,0.047330787598044724,0.004415866579429625,-0.0429149210186151
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,454,eta_minus1,0.04971594643086209,0.002145681225934319,-0.04757026520492778
GLOBAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,455,eta_minus1,0.0521256509362019,0.0022169147053200874,-0.049908736230881816
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,445,eta_plus1,0.5447557860404281,0.6006967550057242,0.0559409689652961
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,446,eta_plus1,0.542522630907541,0.6505234466582595,0.1080008157507184
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,447,eta_plus1,0.5377365939551998,0.7200693659794589,0.18233277202425913
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,448,eta_plus1,0.519789865340945,0.7307177874657924,0.21092792212484746
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,449,eta_plus1,0.4808286963266864,0.7402953663052627,0.2594666699785763
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,450,eta_plus1,0.5398816134613701,0.7562670742893414,0.21638546082797128
POLARIZATION_CONDITIONAL_BIAS,NP_K6_M11_ALT1_UX_M0d378689399989_P,NP_K6_M11_ALT1_UX_M0d378689399989_P,-0.3786893999886029,P_XLIKE,451,eta_plus1,0.5341689330700774,0.757450119852312,0.22328118678223463
