geometry_id,wavelength_nm,diffraction_order_m,diffraction_order_n,J_xy_column_convention,txx_real,txx_imag,txy_real,txy_imag,tyx_real,tyx_imag,tyy_real,tyy_imag,S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1
BF01,445.0,0,0,x-input then y-input,-0.402613206181938,-0.7605187894796592,2.718919741207686e-09,-4.904844534012781e-10,9.382233618194679e-09,8.32753778219153e-09,0.2241409860023761,0.8102368587635607,0.7236045859244329,0.0168816370192732,-9.898647342768351e-09,6.095494927185971e-09,0.023329919886714307,179.99998320214104,0.3702431114718545,0.36180229296221644,8.423792559853307e-09,0.860515091642041,0.8406681562335735,0.9769359821794694
BF01,446.0,0,0,x-input then y-input,-0.4979808020324164,-0.6871710240122986,5.343691220693511e-10,6.327579525526753e-10,1.0977962909071103e-08,6.651046604873269e-09,0.37721720786081586,0.7276635672762297,0.6959879922412189,0.02420090319374074,-9.375213143194713e-09,4.381798244639257e-09,0.034772012539772225,179.9999889020641,0.3600944477174807,0.34799399612060944,6.295795751488471e-09,0.8486394378267851,0.8196261886051934,0.9658120422780616
BF01,447.0,0,0,x-input then y-input,-0.5827175870906771,-0.5843609608971135,1.1436986952688579e-09,-1.0153077367729332e-09,1.888155381280399e-08,3.1015437098243302e-09,0.49762933429170525,0.40804345881263365,0.5475859687763811,0.13345155014899754,-1.2660186201172382e-08,1.0198244547044132e-08,0.24370885624992342,179.99999728225248,0.3405187594626896,0.27379298438819055,1.8624006326956875e-08,0.825249973599139,0.6435327642221353,0.7798034350919327
BF01,448.0,0,0,x-input then y-input,-0.6467051431445414,-0.4474087796945133,-3.376732650500202e-09,-7.692470197379558e-09,3.7163976420960806e-09,-1.2084955519762843e-08,-0.2935231366713216,0.8864539240858126,0.7451792748029212,-0.12677711648558576,-2.824369500459205e-09,4.2269159335033196e-09,0.17012968660342134,90.00000063822421,0.4359781956442535,0.3725896374014606,5.672347683879451e-09,0.9337860522028094,0.7863855023570406,0.8421474067876152
BF01,449.0,0,0,x-input then y-input,-0.6627651320329861,-0.2639880815283762,-1.8987129860279397e-09,-2.9722202456719044e-09,2.444547452288057e-09,-8.540366190339798e-09,0.2837978327860894,0.9493043384817008,0.7453336321909976,-0.23638630476326333,-2.725998133496003e-09,5.346641507001967e-09,0.31715502233325693,90.0000003303664,0.4908599684771304,0.3726668160954988,7.173487517643439e-09,0.9908178121906471,0.7134054439291406,0.7200167731662372
BF01,450.0,0,0,x-input then y-input,-0.5706358733089313,-0.045449828971525934,-1.6614311271899157e-09,-1.2970218555555006e-09,-1.226464815192109e-09,-8.7497169969856e-09,0.4487194869909914,0.8912287771933335,0.6616644490817853,-0.3339734622211977,-8.039217634212058e-10,4.03844353345536e-09,0.5047474784003648,90.00000006895955,0.49781895565149153,0.33083222454089267,6.10346156433166e-09,0.9978165719725158,0.572442998787292,0.5736956218873658
BF01,451.0,0,0,x-input then y-input,-0.268450370787242,0.10008475398203434,-7.314805778028444e-09,-2.308764233908412e-09,8.029488427829434e-10,-5.9952780635058016e-09,0.5609533585179288,0.8103317684175639,0.5266944024473663,-0.4446118428919142,-6.7897177172217664e-09,-3.1032387689731465e-09,0.8441552460515189,90.00000043748516,0.4856531226696403,0.26334720122368316,5.891915225514969e-09,0.9855487026724152,0.2865005402358816,0.2907015548384431
BF01,452.0,0,0,x-input then y-input,0.11666545568536366,-0.17737282441261443,-6.9220558494375316e-09,-1.6516270561394446e-09,-8.178491412475682e-09,-6.696641416908976e-09,0.6337526188246367,0.7581065866536439,0.5107199629925531,-0.4656480156021713,-5.4053255974457836e-09,-6.432842004223268e-09,0.9117482169165984,90.00000033254983,0.4881839892973622,0.25535998149627653,1.2595634536253808e-08,0.9881133429899247,0.21230154825243663,0.21485546142918685
BF01,453.0,0,0,x-input then y-input,-0.06678054559664352,-0.6955109791299209,-3.995554917559009e-09,-1.894262828381333e-09,-1.2003637564132074e-08,3.293743842665717e-09,0.7088156254923469,0.6880561098788365,0.7320179823220756,-0.24382281896162897,-5.624696410201229e-09,-9.975102608055888e-09,0.3330831002104414,90.00000066087203,0.4879204006418523,0.3660089911610378,1.3626854597769992e-08,0.9878465474372549,0.6987096416684446,0.7073058497608654
BF01,454.0,0,0,x-input then y-input,-0.6202757431978392,-0.7236232570750373,-2.4336060529428742e-08,-1.0604598348843327e-08,-4.28036637570256e-09,8.736826704287631e-09,0.755814446386763,0.6305000268210641,0.9385791884839048,-0.03020657270438687,-2.87469092210661e-08,-1.584539252179196e-08,0.032183296918391606,90.00002726354606,0.48439288059415264,0.4692895942419524,1.6882318206295583e-08,0.9842691507856525,0.9530858386207928,0.9683183079140814
BF01,455.0,0,0,x-input then y-input,-0.949803653842841,-0.15452869628469088,-2.2813432375044688e-08,1.2461939936289798e-08,-1.644238666792172e-09,9.191255032087418e-09,0.8146046878082868,0.5656482853289366,0.9547724394617305,-0.028766340633072096,-1.1393462764693905e-08,-3.203990326713695e-08,0.030129001890012528,90.00001134654802,0.49176939004740244,0.47738621973086526,3.355763315204197e-08,0.9917352368928022,0.9622921068099012,0.9703115015100713
BF01,456.0,0,0,x-input then y-input,-0.2229782924426491,0.27945231286367295,-8.188441775004537e-10,2.053453310435573e-08,3.24793555134222e-09,6.339512206651775e-09,0.8471062505356987,0.49934022318809507,0.5473712861278413,-0.4195583720623452,1.0607442547791184e-08,-2.012502988749459e-08,0.7664968599839111,89.9999992757126,0.48346482909509325,0.2736856430639206,3.6766689078378676e-08,0.9833258148702226,0.3575093202498299,0.3635715800840775
BF01,457.0,0,0,x-input then y-input,-0.06241510555529353,-0.3399512223796851,2.222020617082798e-09,8.521006142926264e-09,5.219633009782847e-09,3.196857628368097e-09,0.8904917558947424,0.4396585905045602,0.5528688612599393,-0.4334063822610187,4.312464987616993e-09,-5.0360668538964055e-09,0.7839225766365715,89.99999971494879,0.49313762176047904,0.27643443062996964,9.108971777538084e-09,0.993113912661059,0.345633446007357,0.3480300110600894
BF01,458.0,0,0,x-input then y-input,-0.36115244404367536,-0.4978021848734533,7.920740461351075e-09,3.7904789045635215e-09,9.811242274433088e-10,4.647556182447497e-09,0.9162424518109716,0.3656472716917478,0.6757181304498517,-0.2974800273463478,5.975397895729349e-09,-1.7668710356512396e-09,0.4402427786691233,89.99999942455787,0.48659907889809983,0.33785906522492587,2.6148048365595356e-09,0.9865080627122114,0.6150106528374154,0.6234218209495052
BF01,459.0,0,0,x-input then y-input,-0.5808643418205853,-0.4409504735491236,2.030124517211986e-09,-3.8476528045871205e-10,4.643595313916837e-09,6.248006620292569e-09,0.9409005550903319,0.30806903409413183,0.7560205440294221,-0.224179840307564,-3.6607493968121485e-09,-5.942043354733808e-10,0.2965261223097657,90.00000046780632,0.49010019216849304,0.37801027201471105,7.859632124629886e-10,0.9900506978619765,0.7292740936862203,0.7366027772730168
BF01,460.0,0,0,x-input then y-input,-0.726028468566384,-0.31156669682875143,3.4049013523682468e-09,2.0722812834819987e-09,8.163190825808961e-09,4.320800908163053e-09,0.9649280669513933,0.23319180728890365,0.804827868559423,-0.18063672481779497,-3.5042027026812542e-09,-1.7992533382044508e-09,0.2244414388148862,90.0000005557453,0.492732296688609,0.4024139342797115,2.2355753428679962e-09,0.9927056932330033,0.7900576838064599,0.7958629523252077
BF01,461.0,0,0,x-input then y-input,-0.8176654495688057,-0.14595875555339294,3.5573608689316e-09,1.4766432448462872e-09,8.919172360247512e-09,-1.3036147069905688e-09,0.9713290311130672,0.16966259704058562,0.8310731146294292,-0.141192368888177,-3.396726083408075e-09,1.5369966350411853e-09,0.16989163336264812,90.0000006891947,0.4861327417588031,0.4155365573147146,1.8494120529052649e-09,0.9860352344199503,0.8305906005615837,0.8423538749608586
