angle_minus_positive_target_deg,angle_deg,incoherent_intensity_proxy
-74.51999888074278,-38.44849731359993,8.555307976102747e-06
-74.44684030231289,-38.37533873517005,8.895899697381807e-06
-74.37375562213515,-38.302254054992304,9.23853597841687e-06
-74.30074449816925,-38.22924293102639,9.583422881001773e-06
-74.22780659056974,-38.15630502342689,9.930740310626832e-06
-74.15494156166568,-38.08343999452283,1.0280607834799362e-05
-74.08214907594048,-38.010647508797625,1.0633052037311468e-05
-74.00942880001213,-37.93792723286927,1.098797662376199e-05
-73.93678040261345,-37.8652788354706,1.1345136418214514e-05
-73.86420355457285,-37.79270198743,1.1704116270468868e-05
-73.79169792879499,-37.720196361652135,1.2064315731406548e-05
-73.71926320024193,-37.647761633099066,1.242494015546365e-05
-73.6468990459143,-37.57539747877144,1.2784998661405784e-05
-73.57460514483294,-37.50310357769009,1.3143309133591918e-05
-73.50238117802044,-37.43087961087758,1.3498510185311263e-05
-73.43022682848311,-37.35872526134026,1.3849079743797612e-05
-73.3581417811931,-37.28664021405025,1.4193359663734235e-05
-73.28612572307068,-37.21462415592782,1.4529585542888447e-05
-73.21417834296676,-37.14267677582391,1.4855920709807233e-05
-73.14229933164567,-37.07079776450282,1.517049318807849e-05
-73.07048838176803,-36.99898681462517,1.5471434321894125e-05
-72.99874518787377,-36.92724362073092,1.57569176791332e-05
-72.92706944636562,-36.85556787922277,1.6025196834434592e-05
-72.8554608554924,-36.783959288349536,1.6274640677009468e-05
-72.7839191153328,-36.71241754818993,1.6503764985157157e-05
-72.71244392777916,-36.640942360636316,1.6711259158145786e-05
-72.64103499652165,-36.569533429378794,1.6896007190618735e-05
-72.56969202703226,-36.49819045988941,1.705710220728219e-05
-72.49841472654938,-36.426913159406524,1.7193854136896217e-05
-72.4272028040622,-36.35570123691935,1.7305790383782035e-05
-72.3560559702956,-36.28455440315275,1.7392649640545364e-05
-72.28497393769491,-36.21347237055206,1.7454369265495676e-05
-72.21395642041104,-36.142454853268184,1.7491066910451117e-05
-72.14300313428569,-36.071501567142846,1.7503017318052874e-05
-72.07211379683676,-36.000612229693914,1.7490625402323506e-05
-72.00128812724388,-35.92978656010103,1.7454396873542262e-05
-71.9305258463341,-35.85902427919125,1.7394907762118373e-05
-71.85982667656778,-35.788325109424925,1.731277423183552e-05
-71.7891903420246,-35.717688774881736,1.7208624048918378e-05
-71.7186165683897,-35.647115001246846,1.7083070990696217e-05
-71.64810508294003,-35.57660351579718,1.6936693339618095e-05
-71.57765561453081,-35.506154047387966,1.6770017420819402e-05
-71.50726789358211,-35.43576632643925,1.6583506912323454e-05
-71.43694165206557,-35.36544008492272,1.637755839607553e-05
-71.3666766234914,-35.295175056348555,1.6152503336535937e-05
-71.29647254289534,-35.22497097575249,1.5908616383601594e-05
-71.2263291468258,-35.154827579682944,1.5646129610655412e-05
-71.15624617333123,-35.084744606188366,1.5365252028877896e-05
-71.08622336194752,-35.014721794804665,1.5066193477199374e-05
-71.01626045368559,-34.94475888654274,1.4749191783828497e-05
-70.94635719101912,-34.874855623876265,1.4414541938892442e-05
-70.87651331787228,-34.80501175072943,1.406262591505678e-05
-70.80672857960784,-34.73522701246498,1.369394172841179e-05
-70.73700272301511,-34.665501155872256,1.3309130347252127e-05
-70.66733549629828,-34.59583392915542,1.2908999130883577e-05
-70.59772664906461,-34.526225081921766,1.2494540610958119e-05
-70.52817593231308,-34.456674365170215,1.2066945608371542e-05
-70.45868309842271,-34.38718153127986,1.1627609901627007e-05
-70.3892479011415,-34.31774633399865,1.1178133918166026e-05
-70.31987009557506,-34.24836852843221,1.0720315197547366e-05
-70.25054943817564,-34.179047871032786,1.025613366270103e-05
-70.18128568673112,-34.109784119588255,9.787730020660025e-06
-70.1120786003541,-34.04057703321124,9.31737788523247e-06
-70.04292793947133,-33.97142637232847,8.847450459799012e-06
-69.9738334658129,-33.90233189867004,8.380382828790642e-06
-69.90479494240181,-33.833293375258954,7.91863107303291e-06
-69.83581213354354,-33.76431056640069,7.46462954062916e-06
-69.76688480481576,-33.6953832376729,7.02074766722835e-06
-69.69801272305801,-33.62651115591516,6.589247745602538e-06
-69.62919565636179,-33.55769408921894,6.17224499510039e-06
-69.5604333740604,-33.48893180691754,5.771671179771759e-06
-69.49172564671906,-33.42022407957621,5.389242874998519e-06
-69.42307224612519,-33.351570678982334,5.026435293476821e-06
-69.35447294527862,-33.28297137813576,4.684462361116012e-06
-69.28592751838201,-33.21442595123916,4.364263491757931e-06
-69.21743574083135,-33.145934173688495,4.0664972571897655e-06
-69.14899738920654,-33.07749582206369,3.7915418965584344e-06
-69.08061224126203,-33.00911067411918,3.5395023675568466e-06
-69.01228007591762,-32.94077850877476,3.3102234204746196e-06
-68.94400067324929,-32.87249910610643,3.103307984056911e-06
-68.8757738144802,-32.80427224733734,2.9181399962448356e-06
-68.80759928197165,-32.73609771482879,2.7539106986192447e-06
-68.73947685921425,-32.6679752920714,2.6096473440718582e-06
-68.67140633081917,-32.59990476367632,2.484243244112684e-06
-68.60338748250933,-32.53188591536648,2.3764881044129778e-06
-68.53542010111084,-32.463918533968,2.2850976617916046e-06
-68.46750397454454,-32.39600240740168,2.2087417381709674e-06
-68.39963889181732,-32.32813732467447,2.1460699607971206e-06
-68.33182464301404,-32.2603230758712,2.095734555761731e-06
-68.26406101928903,-32.19255945214618,2.056409795274942e-06
-68.19634781285792,-32.12484624571507,2.0268078594979144e-06
-68.12868481698958,-32.05718324984672,2.0056910523401365e-06
