topology_family,N,H_nm,L_nm,C_nm,M,total_thickness_nm,physical_layer_count,count,FWHM_min,FWHM_median,FWHM_max,T450_min,T450_median,T450_max,T448_min,T448_median,T448_max,T453_min,T453_median,T453_max,ratio_min,ratio_median,ratio_max
Explicit,4,47,80,161,,1177,17,1,2.0,2.0,2.0,0.005184286920451411,0.005184286920451411,0.005184286920451411,0.006792466716657621,0.006792466716657621,0.006792466716657621,0.011196450388347969,0.011196450388347969,0.011196450388347969,1.6342703657627213,1.6342703657627213,1.6342703657627213
Explicit,4,47,80,162,,1178,17,1,2.0,2.0,2.0,0.004523806260626537,0.004523806260626537,0.004523806260626537,0.005806392947095202,0.005806392947095202,0.005806392947095202,0.009159296729807212,0.009159296729807212,0.009159296729807212,1.3136332347512838,1.3136332347512838,1.3136332347512838
Explicit,4,47,81,152,,1176,17,1,2.0,2.0,2.0,0.030452654749374777,0.030452654749374777,0.030452654749374777,0.06277725287969693,0.06277725287969693,0.06277725287969693,0.4005044689234071,0.4005044689234071,0.4005044689234071,35.43420250031321,35.43420250031321,35.43420250031321
Explicit,4,47,81,153,,1177,17,1,2.0,2.0,2.0,0.022206016753883846,0.022206016753883846,0.022206016753883846,0.04058082267219089,0.04058082267219089,0.04058082267219089,0.17192998317457847,0.17192998317457847,0.17192998317457847,18.752477022658432,18.752477022658432,18.752477022658432
Explicit,4,47,81,154,,1178,17,1,2.0,2.0,2.0,0.016900367398901356,0.016900367398901356,0.016900367398901356,0.028290998115097915,0.028290998115097915,0.028290998115097915,0.08955268256663962,0.08955268256663962,0.08955268256663962,11.385919611816572,11.385919611816572,11.385919611816572
Explicit,4,47,81,155,,1179,17,1,2.0,2.0,2.0,0.013292984929445634,0.013292984929445634,0.013292984929445634,0.020821789197366134,0.020821789197366134,0.020821789197366134,0.053939323803081224,0.053939323803081224,0.053939323803081224,7.551385969963586,7.551385969963586,7.551385969963586
Explicit,4,47,81,156,,1180,17,1,2.5,2.5,2.5,0.010732014045104495,0.010732014045104495,0.010732014045104495,0.01595886130211405,0.01595886130211405,0.01595886130211405,0.03581276968412908,0.03581276968412908,0.03581276968412908,5.3150475644464255,5.3150475644464255,5.3150475644464255
Explicit,4,47,81,157,,1181,17,1,2.0,2.0,2.0,0.008849862819744508,0.008849862819744508,0.008849862819744508,0.012621924214459398,0.012621924214459398,0.012621924214459398,0.02544342703864258,0.02544342703864258,0.02544342703864258,3.9023630240767875,3.9023630240767875,3.9023630240767875
Explicit,4,47,81,158,,1182,17,1,2.0,2.0,2.0,0.007426839579734079,0.007426839579734079,0.007426839579734079,0.01023555379410647,0.01023555379410647,0.01023555379410647,0.018989317891017644,0.018989317891017644,0.018989317891017644,2.9560801893992243,2.9560801893992243,2.9560801893992243
Explicit,4,47,81,159,,1183,17,1,2.0,2.0,2.0,0.006325249632474446,0.006325249632474446,0.006325249632474446,0.008471262281855707,0.008471262281855707,0.008471262281855707,0.014710855447761649,0.014710855447761649,0.014710855447761649,2.293170452918768,2.293170452918768,2.293170452918768
