S0,S1,S2,S3,DoLP,psi_deg,P_LP_axisfree,total_power,circular_contamination,sigma1,sigma2,sigma2_over_sigma1,geometry_id,wavelength_nm,dominant_vector_overlap_adjacent,dominant_vector_drift_angle_deg
0.9100983820976974,0.03553631193672968,-0.010773651324110733,-0.04004686345200906,0.04080169503967335,171.56705585595037,0.4736159693700739,0.4550491910488487,0.04400278501726871,0.9821975596337043,0.9249241688079034,0.941688522574664,BF02,453.0,0.9995269494045566,1.7624164945126988
0.9108405247375111,0.03153299117698338,-0.0063844564950906735,-0.037350398164274955,0.03532212987796905,174.27705209145375,0.47150667602520346,0.45542026236875555,0.041006517771087,0.979865810177127,0.9281939686945528,0.9472664104146734,BF02,454.0,0.9993362994258757,2.087602219657515
0.9185563424898262,0.028199312896861062,-0.004126661123901143,-0.025038345528498162,0.03102657722330751,175.8372420629975,0.47352800089202285,0.4592781712449131,0.027258366602346425,0.9780043272659869,0.9384136725499351,0.9595189370718559,BF02,455.0,0.9974072342635186,4.12679741298229
0.9386179659932559,0.019091772589438116,-0.0008197720155705274,-0.016493315828351254,0.0203590438985608,178.77065782593132,0.4788636651834452,0.46930898299662793,0.017571915759036046,0.9817640922109583,0.9557066491511425,0.9734585494962096,BF02,456.0,0.9992453549370037,2.226057166668891
0.9188130513157323,-0.025718762590980937,0.0010134830913246936,-0.011392039030113144,0.028013014892521722,88.87167444089943,0.4722758875028416,0.45940652565786616,0.01239864737859333,0.9731187866063454,0.9437509892896847,0.9698209532886751,BF02,457.0,0.5348842222318991,57.66394000835753
0.6609306495245777,-0.02931165402401198,-0.030779508093531527,-0.3363451184510008,0.06430862780869982,113.19964632679066,0.351717096336108,0.33046532476228885,0.5088962339587995,0.9999753462018791,0.5673716648173285,0.5673856530286749,BF02,458.0,0.8594388349363101,30.746366418704174
0.9910036951122546,-0.009441550847861024,-0.0016122359494480654,0.026780147407509787,0.009665164966040894,94.84517119440308,0.5002909546537353,0.4955018475561273,0.027023256865330157,1.0096757832980912,0.9811025445109673,0.9717005802656872,BF02,459.0,0.2232600419019029,77.09941656240933
0.47935622012699575,0.0897644205186259,-0.015427758570610746,-0.47003463582276434,0.1900059872536589,175.12394289712566,0.2852183859892039,0.23967811006349787,0.9805539515023673,0.9788432285633004,0.024049410590811404,0.024569215875467603,BF02,460.0,0.08716463431395374,84.99948860456507
0.6588949478625471,0.11487428643715158,0.00033274139234759637,-0.3153151724908869,0.17434458818227896,0.08298038109352092,0.3868848581015135,0.32944747393127355,0.47855151039443883,0.9972380804809329,0.5686001288812715,0.5701749060836663,BF02,461.0,0.99663820551538,4.699427488320574
0.5074946868058056,-0.05556431542928145,0.014201603166986265,-0.014212704062113456,0.1130070743649079,82.83139485109969,0.28242258830873246,0.2537473434029028,0.028005621401809854,0.752715115912505,0.6696337266658806,0.8896243911006011,BF02,462.0,0.672437354072949,47.74453917776285
0.7036268839612481,-0.009953046409217736,-0.005332687079847499,-0.2258678444293668,0.01604773829708043,104.09085590786273,0.3574592520269242,0.35181344198062403,0.3210051372082116,0.9642493445515851,0.6909970835353321,0.7166165965678448,BF02,463.0,0.7987382761955392,36.99021504339016
