candidate_id,family,center_wavelength_nm,cavity_span_nm,top_pair_count,bottom_pair_count,bottom_reflectivity_proxy,termination,spectral_peak_wavelength_nm_at_theta0,spectral_FWHM_nm_at_theta0,angular_peak_angle_deg_at_453,angular_FWHM_deg_at_453,peak_abs_angle_deg_at_453,I_normal_0_5deg_at_453,I_offaxis_20_30deg_at_453,eta5,eta10,eta20,eta30,normal_offaxis_ratio_at_453,pass_level,failure_reason,score,cavity_validity_class,effective_bottom_reflector,top_mirror_extraction_risk,angular_lobe_quality_flag,normal_offaxis_same_basis,I_proxy_normal_abs_at_453,I_proxy_offaxis_abs_at_453,I_proxy_peak_estimate_at_453,ratio_artifact_warning,fwhm_artifact_warning,physical_audit_warning,conservative_score
R2_1_04238,R2D_all_dielectric_highR_mediumR_scan,453,270,10,0,0.12,SiO2_25nm,453.425,5.014721,2.0,10.0,2.0,1.600909,0.557586,0.360917,0.584476,0.758765,0.973331,2.871142,Level A,meets Level B or better constraints,2.301732,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.600909,0.557586,1.600909,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.198356
R2_1_02174,R2B_Khaidarov_hybrid_scaled_control,453,210,12,2,0.4727,SiO2_25nm,452.705,4.429555,2.0,10.0,2.0,1.62951,0.628106,0.355108,0.573063,0.736049,0.970534,2.594324,Level A,meets Level B or better constraints,2.301414,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.62951,0.628106,1.62951,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.686656
R2_1_04547,R2D_all_dielectric_highR_mediumR_scan,453,290,12,0,0.12,none,453.6,4.959948,0.0,6.0,0.0,1.531134,0.524716,0.445561,0.613566,0.702866,0.966343,2.918026,Level A,meets Level B or better constraints,2.297553,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.531134,0.524716,1.531134,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.77631
R2_1_02182,R2B_Khaidarov_hybrid_scaled_control,453,230,12,2,0.4727,SiO2_25nm,453.305,4.429555,2.0,10.0,2.0,1.627018,0.626066,0.359693,0.5745,0.732876,0.970136,2.598797,Level A,meets Level B or better constraints,2.297469,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.627018,0.626066,1.627018,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,0.688966
R2_1_02137,R2B_Khaidarov_hybrid_scaled_control,453,270,12,0,0.12,TiO2_25nm,453.125,5.049393,0.0,9.0,0.0,1.590118,0.600995,0.374101,0.573245,0.727457,0.969642,2.64581,Level A,meets Level B or better constraints,2.296742,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.590118,0.600995,1.590118,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.117948
R2_1_04239,R2D_all_dielectric_highR_mediumR_scan,453,270,10,0,0.12,none,452.8,5.014721,0.0,8.0,0.0,1.553287,0.553812,0.391786,0.589711,0.729949,0.969735,2.804716,Level A,meets Level B or better constraints,2.292761,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.553287,0.553812,1.553287,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.965355
R2_1_02127,R2B_Khaidarov_hybrid_scaled_control,453,240,12,0,0.12,none,453.1,5.049393,0.0,9.0,0.0,1.583898,0.600612,0.375401,0.573055,0.725503,0.969401,2.637139,Level A,meets Level B or better constraints,2.287183,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.583898,0.600612,1.583898,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.124083
R2_1_04541,R2D_all_dielectric_highR_mediumR_scan,453,280,12,0,0.12,TiO2_25nm,452.425,4.959948,0.0,6.0,0.0,1.524832,0.526409,0.446638,0.611628,0.699938,0.96601,2.896668,Level A,meets Level B or better constraints,2.285755,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.524832,0.526409,1.524832,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-0.79007
R2_1_04303,R2D_all_dielectric_highR_mediumR_scan,453,280,10,2,0.4727,none,452.98,4.40285,0.0,7.0,0.0,1.538461,0.581738,0.405744,0.58753,0.701994,0.966328,2.644596,Level A,meets Level B or better constraints,2.283184,weak_bottom_reflector,weak DBR proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.538461,0.581738,1.538461,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,needs FDTD confirmation,1.045299
R2_1_04226,R2D_all_dielectric_highR_mediumR_scan,453,240,10,0,0.12,SiO2_25nm,452.525,5.014721,2.0,10.0,2.0,1.591877,0.553833,0.363184,0.585421,0.757378,0.973148,2.874291,Level A,meets Level B or better constraints,2.282421,top_filter_only,none in proxy,high,single_near_normal_lobe_proxy,yes_proxy_I_basis,1.591877,0.553833,1.591877,,proxy_formula_repeated_value_not_true_interpolated_TMM_FWHM,"top-filter control, not true RCLED cavity",-1.197822
