case_id,angle_deg,normalized_intensity
BARE_GAN_AIR_450_XDIPOLE,-43.38075482818059,0.0066132000839949166
BARE_GAN_AIR_450_XDIPOLE,-43.30193425165608,0.006612470948717542
BARE_GAN_AIR_450_XDIPOLE,-43.223215730836884,0.00661156579450773
BARE_GAN_AIR_450_XDIPOLE,-43.144598722311514,0.006610493291883077
BARE_GAN_AIR_450_XDIPOLE,-43.06608268692629,0.00660926223975481
BARE_GAN_AIR_450_XDIPOLE,-42.98766708973808,0.006607881564964894
BARE_GAN_AIR_450_XDIPOLE,-42.909351399967605,0.006606360321468793
BARE_GAN_AIR_450_XDIPOLE,-42.83113509095352,0.006604707689116895
BARE_GAN_AIR_450_XDIPOLE,-42.75301764010706,0.006602932971990541
BARE_GAN_AIR_450_XDIPOLE,-42.67499852886731,0.006601045596252294
BARE_GAN_AIR_450_XDIPOLE,-42.597077242657235,0.006599055107473635
BARE_GAN_AIR_450_XDIPOLE,-42.51925327084011,0.006596971167407383
BARE_GAN_AIR_450_XDIPOLE,-42.44152610667673,0.0065948035501762065
BARE_GAN_AIR_450_XDIPOLE,-42.36389524728321,0.006592562137853148
BARE_GAN_AIR_450_XDIPOLE,-42.286360193589125,0.00659025691541453
BARE_GAN_AIR_450_XDIPOLE,-42.208920450296645,0.006587897965050331
BARE_GAN_AIR_450_XDIPOLE,-42.13157552583988,0.006585495459821849
BARE_GAN_AIR_450_XDIPOLE,-42.05432493234483,0.006583059656661436
BARE_GAN_AIR_450_XDIPOLE,-41.97716818559011,0.006580600888713645
BARE_GAN_AIR_450_XDIPOLE,-41.90010480496798,0.006578129557022361
BARE_GAN_AIR_450_XDIPOLE,-41.823134313445905,0.0065756561215729046
BARE_GAN_AIR_450_XDIPOLE,-41.74625623752882,0.006573191091703006
BARE_GAN_AIR_450_XDIPOLE,-41.66947010722176,0.00657074501590114
