task_id,geometry_id,geometry_hash,polarization,wavelength_start_nm,wavelength_end_nm,wavelength_step_nm,material_contract,production_mesh_id,setup_status,entered,run_invocation_count,training_label,diagnostic_only,solver_authorized
K6HF_042_y,K6X_D110_D125_D130_D135_D140_D175,714b47fc14f3ebf1b6ebfe7d011e9924fa714cc1c261035eb4ad86c2fc7aabdf,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_043_x,K6X_D150_D155_D160_D165_D195_D225,5bf51dafd6662aa3d6ab0915626262a3aa8cbf7eba4c42d374bf202838833ac1,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_043_y,K6X_D150_D155_D160_D165_D195_D225,5bf51dafd6662aa3d6ab0915626262a3aa8cbf7eba4c42d374bf202838833ac1,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_044_x,K6X_D100_D105_D115_D120_D125_D165,c9a4fedab14cf5d95250a2e6504304d5c3debd627bee59b15bc02ad0c945a47e,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_044_y,K6X_D100_D105_D115_D120_D125_D165,c9a4fedab14cf5d95250a2e6504304d5c3debd627bee59b15bc02ad0c945a47e,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_045_x,K6X_D100_D105_D115_D165_D225_D230,3322805126afe49c88dd968c948ae5794d7e823781ba3e24fc5af9ddd665a869,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_045_y,K6X_D100_D105_D115_D165_D225_D230,3322805126afe49c88dd968c948ae5794d7e823781ba3e24fc5af9ddd665a869,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_046_x,K6X_D100_D140_D145_D155_D225_D230,b3675b12a5a697a0cb36ebd8799b9f4e45182e7384a43255e7f003887d9785d6,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_046_y,K6X_D100_D140_D145_D155_D225_D230,b3675b12a5a697a0cb36ebd8799b9f4e45182e7384a43255e7f003887d9785d6,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_047_x,K6X_D105_D110_D165_D200_D215_D220,4ef84012a8f7313d144dc0f2eb6c8fecfe26d2127a794fcb3ca59499c7714070,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_047_y,K6X_D105_D110_D165_D200_D215_D220,4ef84012a8f7313d144dc0f2eb6c8fecfe26d2127a794fcb3ca59499c7714070,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_048_x,K6X_D100_D105_D110_D115_D120_D170,ec073ecff12f537baf58b0bd3802f56ccdda59e9bd2a621af2152229696b02cf,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_048_y,K6X_D100_D105_D110_D115_D120_D170,ec073ecff12f537baf58b0bd3802f56ccdda59e9bd2a621af2152229696b02cf,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_049_x,K6X_D100_D110_D185_D210_D215_D220,f42220126d22631519b535e076bef041d826ad5180b3b24306b54ad5c4c20049,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_049_y,K6X_D100_D110_D185_D210_D215_D220,f42220126d22631519b535e076bef041d826ad5180b3b24306b54ad5c4c20049,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_050_x,K6X_D115_D130_D145_D155_D180_D195,fd51f6505b9d4c0dff4573d9b89d37c7417dc1ddfda156c47fc90df04d740112,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
