model,geometry_id,polarization,order_n,mean_hf_minus_model,mae_hf_minus_model,p90_abs_hf_minus_model,max_abs_hf_minus_model
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,-3,0.025335507634107957,0.025335507634107957,0.02862296367645431,0.029110966684212043
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,-2,0.01447990505374682,0.01447990505374682,0.02105444181893009,0.023373871461218
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,-1,0.01308151988815135,0.01308151988815135,0.015133455489742733,0.01614343290497431
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,0,0.0412719505201413,0.0412719505201413,0.04230619316925263,0.0423106057536052
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,1,-0.024852612436021267,0.03847302116184123,0.08445424591123551,0.10207825294427675
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,2,0.05953733675781711,0.05953733675781711,0.06723059454633774,0.06847459273631898
LF_global_bias,K6X_D110_D125_D135_D150_D175_D190,s,3,0.01665928765704321,0.01665928765704321,0.02657454896933611,0.03127230659114384
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,-3,0.025343614596341532,0.025343614596341532,0.028626043031771898,0.029301773818381366
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,-2,0.012001203873330616,0.012001203873330616,0.012510030737811349,0.013196350827835485
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,-1,0.0037929125084540734,0.0038620483320721917,0.004809977638345143,0.006458928759313216
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,0,0.06999956508575164,0.06999956508575164,0.11129136294240599,0.11879482906256394
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,1,-0.17834765446059392,0.17834765446059392,0.2961935141739712,0.4684690840273794
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,2,0.062303822787132646,0.062303822787132646,0.07096347697708598,0.07313175339947077
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,p,3,0.03310935008181664,0.03310935008181664,0.04546713011479903,0.06309430889403056
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,-3,0.02411774263749594,0.02411774263749594,0.030774266682753258,0.03178781584063171
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,-2,0.018832627948194104,0.018832627948194104,0.024019833875818138,0.02563534783948994
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,-1,0.016414428374100856,0.016414428374100856,0.022856960467678107,0.02469057768220856
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,0,0.04234549059642152,0.04234549059642152,0.04412918536568781,0.044185876390436314
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,1,-0.022351559412700374,0.0370810347440153,0.08039721192218363,0.09597476906322899
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,2,0.050468440865398805,0.050468440865398805,0.055537075509741275,0.05673519415402114
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,s,3,0.013472450014988695,0.013472450014988695,0.02165958936321712,0.02535209868759445
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,-3,-0.0038473628470876747,0.020713421990380346,0.03812856883836782,0.052933934169305585
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,-2,-0.012000350220046795,0.030355229245794778,0.05531650599451776,0.07103532184852816
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,-1,0.002950030047246607,0.04297527261044349,0.07301385448298198,0.08322034836761523
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,0,-0.20668895461938028,0.20937347785968774,0.38877154600916886,0.3955583485892004
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,1,0.08339991697064006,0.08339991697064006,0.10071458566470527,0.11211493131009445
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,2,-0.06712736957276548,0.06712736957276548,0.11571277100873573,0.1162651569813154
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,p,3,-0.01661415650530396,0.024586392763333912,0.05446402406367935,0.06760807930614308
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,-3,0.004505868599441089,0.018451045737890134,0.0268955391374687,0.030960072474992936
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,-2,-0.010934844102962282,0.032101535632812,0.0568048000045704,0.058494605402841
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,-1,-0.002727595380251765,0.02297320573464738,0.03910275062306691,0.04089412041745823
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,0,-0.03543124623438205,0.04123971991426595,0.09739781467506531,0.12540108311498582
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,1,0.09125356038851215,0.09125356038851215,0.11002959664078171,0.1118080884172771
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,2,-0.11190854375706696,0.11190854375706696,0.14048322852122075,0.1412978787446275
LF_global_bias,K6X_D110_D190_D210_D215_D220_D225,s,3,-0.005887967204481642,0.0270475789012535,0.04972192715805017,0.0581547479761911
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,-3,0.01744940915170472,0.01744940915170472,0.019375308819685293,0.019703098469450776
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,-2,-0.015389697890815084,0.015389697890815084,0.01737934601567244,0.01788416612245452
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,-1,0.00512070405025579,0.00512070405025579,0.010554951935458412,0.015200020561393954
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,0,0.023379987397125226,0.026082924322492027,0.05221959312063962,0.05903527343683268
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,1,-0.10646204913698519,0.10646204913698519,0.12227709557177555,0.16561149612851628
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,2,0.022870522348300136,0.022870522348300136,0.030889972832533003,0.035623424838498785
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,p,3,0.02292412734669151,0.02292412734669151,0.02368704062785576,0.03376942796098194
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,-3,0.019492995125785447,0.019492995125785447,0.020318371474260775,0.02153323648224678
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,-2,-0.010653623672878719,0.010653623672878719,0.017211107988034356,0.01982557142787244
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,-1,-0.00522453211170785,0.007371844064096319,0.01530305039017428,0.017580351425806037
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,0,0.0007528841590343151,0.009413381614999132,0.014817297588832684,0.021012391879952824
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,1,0.06405175731210573,0.06405175731210573,0.07526363537360325,0.07636782665647662
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,2,0.025832066698818323,0.025832066698818323,0.03912427055995585,0.039978524366233004
LF_global_bias,K6X_D120_D125_D180_D185_D190_D195,s,3,0.010283196568527874,0.010283196568527874,0.01294238877030045,0.014078625809245933
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,-3,-0.0649044688103506,0.07679369417092916,0.13747852321708545,0.1400271792772434
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,-2,-0.0005549092051509208,0.030675844657627894,0.04965243354208853,0.05683042990146972
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,-1,0.0022649004428808308,0.009185797902377871,0.024471328048816247,0.035458985946684785
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,0,-0.05847969727486046,0.09497152429391696,0.13817344652321417,0.1600425809562651
LF_global_bias,K6X_D120_D145_D200_D215_D220_D230,p,1,0.002911299219996938,0.10654756960274235,0.21381857035129764,0.22367013218074272
