model,geometry_id,M7_order_profile_mae,M8_order_profile_mae,delta_order,M7_eta_plus1_mae,M8_eta_plus1_mae,delta_eta_plus1,M7_R_mae,M8_R_mae,delta_R,M7_T_mae,M8_T_mae,delta_T,M7_PS_contrast_mae,M8_PS_contrast_mae,delta_PS_contrast
LF_only,K6X_D120_D145_D200_D215_D220_D230,0.07451680346832967,0.07451680346832967,0.0,0.07368519840959226,0.07368519840959226,0.0,nan,nan,nan,0.34553855771468583,0.34553855771468583,0.0,0.1099271058985091,0.1099271058985091,0.0
LF_only,K6X_D125_D135_D150_D175_D190_D210,0.036332746429062764,0.036332746429062764,0.0,0.20635053389203473,0.20635053389203473,0.0,nan,nan,nan,0.16499316476696044,0.16499316476696044,0.0,0.07375088045209091,0.07375088045209091,0.0
LF_only,K6X_D130_D145_D155_D180_D195_D230,0.024847446200025276,0.024847446200025276,0.0,0.13723750567935633,0.13723750567935633,0.0,nan,nan,nan,0.2141988401553972,0.2141988401553972,0.0,0.12269839287254544,0.12269839287254544,0.0
LF_only,K6X_D140_D160_D165_D170_D180_D190,0.07859126194206577,0.07859126194206577,0.0,0.12114530250669762,0.12114530250669762,0.0,nan,nan,nan,0.30333107693880285,0.30333107693880285,0.0,0.1874648720657273,0.1874648720657273,0.0
LF_only,K6X_D150_D205_D215_D220_D225_D230,0.08187879087397647,0.08187879087397647,0.0,0.061683935423750384,0.061683935423750384,0.0,nan,nan,nan,0.3659545778499423,0.3659545778499423,0.0,0.09839323827354848,0.09839323827354848,0.0
LF_only,K6X_D200_D205_D215_D220_D225_D230,0.06066018137016598,0.06066018137016598,0.0,0.026939250029962666,0.026939250029962666,0.0,nan,nan,nan,0.3052959137199931,0.3052959137199931,0.0,0.03205698468577791,0.03205698468577791,0.0
LF_paired_shared_contrast,K6X_D100_D105_D115_D120_D125_D130,0.028012614656676958,0.04097830237588098,0.012965687719204023,0.0483479303960935,0.08903680948303361,0.040688879086940105,0.04397957414188868,0.026171969172207668,-0.017807604969681014,0.11089518369155825,0.07860373721804996,-0.03229144647350829,0.09669586079218698,0.027023483666401407,-0.06967237712578557
LF_paired_shared_contrast,K6X_D100_D110_D115_D220_D225_D230,0.19023056861060067,0.055705557822573706,-0.13452501078802698,0.5671599190617292,0.08307511533089897,-0.4840848037308303,0.19904838403381883,0.08000958045341604,-0.1190388035804028,0.02842928657818876,0.060629551114665906,0.03220026453647715,1.134319838123458,0.0729223294235189,-1.0613975086999392
LF_paired_shared_contrast,K6X_D100_D115_D130_D145_D155_D185,0.018399645662088317,0.017045191364771586,-0.0013544542973167317,0.0490483113412937,0.05207610213496064,0.00302779079366694,0.029798148222973594,0.030043824375549887,0.0002456761525762921,0.038155173533538006,0.03139477970202572,-0.006760393831512286,0.09358857272021437,0.10387485993220916,0.010286287211994788
LF_paired_shared_contrast,K6X_D100_D130_D135_D155_D160_D225,0.0761363775485679,0.1027518587956122,0.026615481247044298,0.22156899138555056,0.18712996679168264,-0.03443902459386791,0.052452738263634016,0.02017545701693775,-0.032277281246696266,0.13170004605380972,0.10962055710259411,-0.022079488951215615,0.3052927405071435,0.12175415598833594,-0.18353858451880756
LF_paired_shared_contrast,K6X_D100_D140_D145_D155_D225_D230,0.09786752515328405,0.07519515230997398,-0.02267237284331007,0.2158945396216967,0.14065439614289252,-0.07524014347880417,0.10625079572749406,0.07681847388497474,-0.029432321842519316,0.0845040334528558,0.07319828281622744,-0.011305750636628364,0.4317890792433934,0.281308792285785,-0.1504802869576084
LF_paired_shared_contrast,K6X_D100_D200_D205_D210_D215_D220,0.03326966769520921,0.038552791466534224,0.0052831237713250115,0.050977823229299675,0.057211325926708016,0.006233502697408341,0.13469728686233357,0.13377240237303428,-0.0009248844892992825,0.08983657823678165,0.0841518392840171,-0.005684738952764556,0.0450695392181994,0.04494485588999932,-0.00012468332820007866
