trace,source_x_um,angle_deg,intensity_proxy
case,-0.7,-45.06057210718896,2.259251628349779e-08
case,-0.7,-44.979474751034836,1.5866693666446513e-08
case,-0.7,-44.898491937355956,1.0216674376363288e-08
case,-0.7,-44.81762302107569,5.925060405445864e-09
case,-0.7,-44.73686736254672,3.251638664912122e-09
case,-0.7,-44.656224327486456,2.4262637454955915e-09
case,-0.7,-44.575693286913555,3.6423248059250597e-09
case,-0.7,-44.495273617085324,7.050961563695639e-09
case,-0.7,-44.41496469943605,1.2756180480415091e-08
case,-0.7,-44.334765920516254,2.0811004535501328e-08
case,-0.7,-44.25467667193294,3.121476875599674e-08
case,-0.7,-44.17469635029065,4.3911649301662036e-08
case,-0.7,-44.094824357133405,5.87904868695434e-08
case,-0.7,-44.01506009888752,7.568593604092094e-08
case,-0.7,-43.93540298680525,9.438094157947811e-08
case,-0.7,-43.855852436909366,1.1461051129664513e-07
case,-0.7,-43.776407869938346,1.3606672366720592e-07
case,-0.7,-43.69706871129252,1.584048776714672e-07
case,-0.7,-43.617834390981024,1.8125066313341413e-07
